office,district,candidate,party
PRESIDENT,,DONALD J TRUMP,REP
PRESIDENT,,JOSEPH R BIDEN,DEM
PRESIDENT,,JO JORGENSEN,LBN
PRESIDENT,,HOWIE HAWKINS,MTN
US SENATOR,,SHELLEY MOORE CAPITO,REP
US SENATOR,,PAULA JEAN SWEARENGIN,DEM
US SENATOR,,DAVID MORAN,LBN
US HOUSE OF REPRESENTATIVES,2nd Congressional District,ALEX X MOONEY,REP
US HOUSE OF REPRESENTATIVES,2nd Congressional District,CATHY KUNKEL,DEM
US HOUSE OF REPRESENTATIVES,1st Congressional District,DAVID B MCKINLEY,REP
US HOUSE OF REPRESENTATIVES,1st Congressional District,NATALIE CLINE,DEM
US HOUSE OF REPRESENTATIVES,3rd Congressional District,CAROL MILLER,REP
US HOUSE OF REPRESENTATIVES,3rd Congressional District,HILARY TURNER,DEM
GOVERNOR,,JIM JUSTICE,REP
GOVERNOR,,BEN SALANGO,DEM
GOVERNOR,,ERIKA KOLENICH,LBN
GOVERNOR,,DANIEL P DANNY LUTZ,MTN
SECRETARY OF STATE,,MAC WARNER,REP
SECRETARY OF STATE,,NATALIE TENNANT,DEM
AUDITOR,,JOHN JB MCCUSKEY,REP
AUDITOR,,MARY ANN ROEBUCK CLAYTOR,DEM
TREASURER,,RILEY MOORE,REP
TREASURER,,JOHN D PERDUE,DEM
COMMISSIONER OF AGRICULTURE,,KENT LEONHARDT,REP
COMMISSIONER OF AGRICULTURE,,BOB BEACH,DEM
ATTORNEY GENERAL,,PATRICK MORRISEY,REP
ATTORNEY GENERAL,,SAM BROWN PETSONK,DEM
STATE SENATOR,11th District,ROBERT LEE KARNES,REP
STATE SENATOR,11th District,DENISE CAMPBELL,DEM
STATE SENATOR,1st District,RYAN W WELD,REP
STATE SENATOR,1st District,RANDY SWARTZMILLER,DEM
STATE SENATOR,3rd District,DONNA J BOLEY,REP
STATE SENATOR,3rd District,ROBERT ROBIN WILSON,DEM
STATE SENATOR,3rd District,TRAVIS SHULTZ,LBN
STATE SENATOR,2nd District,MIKE MARONEY,REP
STATE SENATOR,2nd District,JOSH GARY,DEM
STATE SENATOR,12th District,PATRICK S MARTIN,REP
STATE SENATOR,12th District,DOUG FACEMIRE,DEM
STATE SENATOR,6th District,CHANDLER SWOPE,REP
STATE SENATOR,9th District,DAVID BUGS STOVER,REP
STATE SENATOR,15th District,CRAIG P BLAIR,REP
STATE SENATOR,15th District,DONALD KINNIE,MTN
STATE SENATOR,16th District,PATRICIA RUCKER,REP
STATE SENATOR,16th District,PETE DOUGHERTY,DEM
STATE SENATOR,5th District,CHARLES R CHAD SHAFFER,REP
STATE SENATOR,5th District,ROBERT H BOB PLYMALE,DEM
STATE SENATOR,7th District,RUPIE PHILLIPS,REP
STATE SENATOR,7th District,RALPH RODIGHIERO,DEM
STATE SENATOR,13th District,MIKE CAPUTO,DEM
STATE SENATOR,13th District,REBECCA POLIS,REP
STATE SENATOR,14th District,RANDY E SMITH,REP
STATE SENATOR,14th District,DAVID C CHILDERS,DEM
STATE SENATOR,10th District,JACK DAVID WOODRUM,REP
STATE SENATOR,10th District,WILLIAM R LAIRD IV,DEM
STATE SENATOR,4th District,AMY NICHOLE GRADY,REP
STATE SENATOR,4th District,BRUCE ASHWORTH,DEM
STATE SENATOR,4th District,LOYD BUTCHER,LBN
STATE SENATOR,8th District,KATHIE HESS CROUSE,REP
STATE SENATOR,8th District,GLENN D JEFFRIES,DEM
STATE SENATOR,17th District,ERIC NELSON,REP
STATE SENATOR,17th District,ANDREW ROBINSON,DEM
HOUSE OF DELEGATES,43rd District,WILLIAM TY NESTOR,REP
HOUSE OF DELEGATES,43rd District,MARK RENNIX,REP
HOUSE OF DELEGATES,43rd District,BILL HARTMAN,DEM
HOUSE OF DELEGATES,43rd District,CODY H THOMPSON,DEM
HOUSE OF DELEGATES,44th District,CALEB HANNA,REP
HOUSE OF DELEGATES,44th District,ROBIN CUTLIP,DEM
HOUSE OF DELEGATES,2nd District,GORDON K GREER,REP
HOUSE OF DELEGATES,2nd District,PHILLIP W DISERIO,DEM
HOUSE OF DELEGATES,3rd District,ERIKKA STORCH,REP
HOUSE OF DELEGATES,3rd District,SHAWN FLUHARTY,DEM
HOUSE OF DELEGATES,3rd District,DALTON HAAS,REP
HOUSE OF DELEGATES,3rd District,BENJAMIN SCHNEIDER,DEM
HOUSE OF DELEGATES,4th District,CHARLIE REYNOLDS,REP
HOUSE OF DELEGATES,4th District,LISA ZUKOFF,DEM
HOUSE OF DELEGATES,4th District,CHRISTIAN E TURAK,DEM
HOUSE OF DELEGATES,9th District,D SHANNON KIMES,REP
HOUSE OF DELEGATES,9th District,JIM MARION,DEM
HOUSE OF DELEGATES,33rd District,ROGER HANSHAW,REP
HOUSE OF DELEGATES,33rd District,LARRY COTTRELL,DEM
HOUSE OF DELEGATES,34th District,LEATHA WILLIAMS,REP
HOUSE OF DELEGATES,34th District,BRENT BOGGS,DEM
HOUSE OF DELEGATES,21st District,MARK DEAN,REP
HOUSE OF DELEGATES,21st District,PHYLLIS WHITE,DEM
HOUSE OF DELEGATES,25th District,TONY PAYNTER,REP
HOUSE OF DELEGATES,26th District,ED EVANS,DEM
HOUSE OF DELEGATES,26th District,WES R PAYNE,REP
HOUSE OF DELEGATES,6th District,DAVID L KELLY,REP
HOUSE OF DELEGATES,6th District,CINDY WELCH,DEM
HOUSE OF DELEGATES,7th District,TRENTON CARL BARNHART,REP
HOUSE OF DELEGATES,59th District,KEN REED,REP
HOUSE OF DELEGATES,59th District,PATRICIA PATCH ADAMS,
HOUSE OF DELEGATES,59th District,ROBERT E SMITH,MTN
HOUSE OF DELEGATES,60th District,DON FORSHT,REP
HOUSE OF DELEGATES,60th District,BRAD NOLL,DEM
HOUSE OF DELEGATES,60th District,MARY KINNIE,MTN
HOUSE OF DELEGATES,61st District,JASON BARRETT,DEM
HOUSE OF DELEGATES,61st District,KIM MONGAN SALADINI,REP
HOUSE OF DELEGATES,62nd District,CHARLES K CHUCK HORST,REP
HOUSE OF DELEGATES,62nd District,DEBI CARROLL,DEM
HOUSE OF DELEGATES,63rd District,JOHN HARDY,REP
HOUSE OF DELEGATES,63rd District,DANIEL BENNETT,DEM
HOUSE OF DELEGATES,63rd District,BRETT DAVID ROGERS,LBN
HOUSE OF DELEGATES,64th District,ERIC L HOUSEHOLDER,REP
HOUSE OF DELEGATES,17th District,MATTHEW ROHRBACH,REP
HOUSE OF DELEGATES,17th District,CHAD LOVEJOY,DEM
HOUSE OF DELEGATES,17th District,JEANETTE M ROWSEY,DEM
HOUSE OF DELEGATES,19th District,DERRICK EVANS,REP
HOUSE OF DELEGATES,19th District,RIC GRIFFITH,DEM
HOUSE OF DELEGATES,19th District,JASON STEPHENS,REP
HOUSE OF DELEGATES,19th District,DAVID THOMPSON,DEM
HOUSE OF DELEGATES,5th District,DAVE PETHTEL,DEM
HOUSE OF DELEGATES,5th District,PHILLIP W WILEY,REP
HOUSE OF DELEGATES,49th District,AMY SUMMERS,REP
HOUSE OF DELEGATES,49th District,MIKE MANYPENNY,DEM
HOUSE OF DELEGATES,51st District,BARBARA EVANS FLEISCHAUER,DEM
HOUSE OF DELEGATES,51st District,EVAN HANSEN,DEM
HOUSE OF DELEGATES,51st District,JOE STATLER,REP
HOUSE OF DELEGATES,51st District,DANIELLE WALKER,DEM
HOUSE OF DELEGATES,51st District,JOHN WILLIAMS,DEM
HOUSE OF DELEGATES,51st District,CINDY FRICH,REP
HOUSE OF DELEGATES,51st District,RODNEY A PYLES,DEM
HOUSE OF DELEGATES,51st District,JUSTIN S WHITE,REP
HOUSE OF DELEGATES,51st District,TODD STAINBROOK,REP
HOUSE OF DELEGATES,51st District,ZACH LEMAIRE,REP
HOUSE OF DELEGATES,28th District,ROY G COOPER,REP
HOUSE OF DELEGATES,28th District,JEFFREY PACK,REP
HOUSE OF DELEGATES,28th District,RYNE NAHODIL,DEM
HOUSE OF DELEGATES,42nd District,BARRY L BRUCE,REP
HOUSE OF DELEGATES,42nd District,TODD LONGANACRE,REP
HOUSE OF DELEGATES,42nd District,JEFF CAMPBELL,DEM
HOUSE OF DELEGATES,42nd District,CINDY LAVENDER BOWE,DEM
HOUSE OF DELEGATES,11th District,N RILEY KEATON,REP
HOUSE OF DELEGATES,11th District,MARK PAULEY,DEM
HOUSE OF DELEGATES,12th District,STEVE WESTFALL,REP
HOUSE OF DELEGATES,13th District,JOSHUA KURT HIGGINBOTHAM,REP
HOUSE OF DELEGATES,13th District,JONATHAN ADAM PINSON,REP
HOUSE OF DELEGATES,13th District,DAVID RAY CALDWELL,DEM
HOUSE OF DELEGATES,13th District,SCOTT BREWER,DEM
HOUSE OF DELEGATES,14th District,JOHNNIE WAMSLEY II,REP
HOUSE OF DELEGATES,14th District,CHRIS YEAGER,DEM
