candidate,office,district,party,county,precinct,total votes ,election day,early voting
,Registered Voters,,,Wayne,Precinct 1,1252,,
,Ballots Cast,,,Wayne,Precinct 1,430,430,0
,Straight Party,,REP,Wayne,Precinct 1,58,58,0
,Straight Party,,DEM,Wayne,Precinct 1,94,94,0
,Straight Party,,MTN,Wayne,Precinct 1,3,3,0
John R. Raese,US Senate,,REP,Wayne,Precinct 1,156,156,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 1,256,256,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 1,2,2,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 1,7,7,0
Write-in,US Senate,,,Wayne,Precinct 1,1,1,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 1,179,179,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 1,225,225,0
No Candidate Filed,US House,3,,Wayne,Precinct 1,0,0,0
Write-in,US House,3,,Wayne,Precinct 1,1,1,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 1,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 1,265,265,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 1,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 1,4,4,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 1,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 1,265,265,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 1,249,249,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 1,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 1,2,2,0
,Registered Voters,,,Wayne,Precinct 3,712,,
,Ballots Cast,,,Wayne,Precinct 3,293,293,0
,Straight Party,,REP,Wayne,Precinct 3,51,51,0
,Straight Party,,DEM,Wayne,Precinct 3,70,70,0
,Straight Party,,MTN,Wayne,Precinct 3,1,1,0
John R. Raese,US Senate,,REP,Wayne,Precinct 3,115,115,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 3,157,157,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 3,3,3,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 3,5,5,0
Write-in,US Senate,,,Wayne,Precinct 3,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 3,133,133,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 3,143,143,0
No Candidate Filed,US House,3,,Wayne,Precinct 3,0,0,0
Write-in,US House,3,,Wayne,Precinct 3,0,0,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 3,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 3,158,158,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 3,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 3,3,3,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 3,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 3,175,175,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 3,153,153,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 3,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 3,2,2,0
,Registered Voters,,,Wayne,Precinct 5,933,,
,Ballots Cast,,,Wayne,Precinct 5,359,359,0
,Straight Party,,REP,Wayne,Precinct 5,51,51,0
,Straight Party,,DEM,Wayne,Precinct 5,72,72,0
,Straight Party,,MTN,Wayne,Precinct 5,2,2,0
John R. Raese,US Senate,,REP,Wayne,Precinct 5,136,136,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 5,208,208,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 5,3,3,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 5,10,10,0
Write-in,US Senate,,,Wayne,Precinct 5,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 5,146,146,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 5,198,198,0
No Candidate Filed,US House,3,,Wayne,Precinct 5,0,0,0
Write-in,US House,3,,Wayne,Precinct 5,1,1,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 5,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 5,215,215,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 5,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 5,3,3,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 5,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 5,230,230,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 5,256,256,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 5,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 5,0,0,0
,Registered Voters,,,Wayne,Precinct 6,766,,
,Ballots Cast,,,Wayne,Precinct 6,162,162,0
,Straight Party,,REP,Wayne,Precinct 6,19,19,0
,Straight Party,,DEM,Wayne,Precinct 6,44,44,0
,Straight Party,,MTN,Wayne,Precinct 6,0,0,0
John R. Raese,US Senate,,REP,Wayne,Precinct 6,56,56,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 6,95,95,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 6,2,2,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 6,4,4,0
Write-in,US Senate,,,Wayne,Precinct 6,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 6,53,53,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 6,94,94,0
No Candidate Filed,US House,3,,Wayne,Precinct 6,0,0,0
Write-in,US House,3,,Wayne,Precinct 6,0,0,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 6,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 6,90,90,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 6,0,0,0
Write-in,State Senate,6,,Wayne,Precinct 6,2,2,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 6,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 6,107,107,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 6,102,102,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 6,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 6,1,1,0
,Registered Voters,,,Wayne,Precinct 11,571,,
,Ballots Cast,,,Wayne,Precinct 11,220,220,0
,Straight Party,,REP,Wayne,Precinct 11,28,28,0
,Straight Party,,DEM,Wayne,Precinct 11,54,54,0
,Straight Party,,MTN,Wayne,Precinct 11,1,1,0
John R. Raese,US Senate,,REP,Wayne,Precinct 11,84,84,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 11,127,127,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 11,3,3,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 11,4,4,0
Write-in,US Senate,,,Wayne,Precinct 11,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 11,94,94,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 11,116,116,0
No Candidate Filed,US House,3,,Wayne,Precinct 11,0,0,0
Write-in,US House,3,,Wayne,Precinct 11,0,0,0
No Candidate Filed,State Senate,5,,Wayne,Precinct 11,0,0,0
Evan H. Jenkins,State Senate,5,DEM,Wayne,Precinct 11,143,143,0
No Candidate Filed,State Senate,5,,Wayne,Precinct 11,0,0,0
Write-in,State Senate,5,,Wayne,Precinct 11,0,0,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 11,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 11,135,135,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 11,134,134,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 11,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 11,0,0,0
,Registered Voters,,,Wayne,Precinct 12,593,,
,Ballots Cast,,,Wayne,Precinct 12,261,261,0
,Straight Party,,REP,Wayne,Precinct 12,37,37,0
,Straight Party,,DEM,Wayne,Precinct 12,49,49,0
,Straight Party,,MTN,Wayne,Precinct 12,2,2,0
John R. Raese,US Senate,,REP,Wayne,Precinct 12,101,101,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 12,151,151,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 12,2,2,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 12,4,4,0
Write-in,US Senate,,,Wayne,Precinct 12,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 12,102,102,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 12,140,140,0
No Candidate Filed,US House,3,,Wayne,Precinct 12,0,0,0
Write-in,US House,3,,Wayne,Precinct 12,0,0,0
No Candidate Filed,State Senate,5,,Wayne,Precinct 12,0,0,0
Evan H. Jenkins,State Senate,5,DEM,Wayne,Precinct 12,180,180,0
No Candidate Filed,State Senate,5,,Wayne,Precinct 12,0,0,0
Write-in,State Senate,5,,Wayne,Precinct 12,0,0,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 12,0,0,0
Richard Thompson,House of Delegates,17,DEM,Wayne,Precinct 12,163,163,0
Don Perdue,House of Delegates,17,DEM,Wayne,Precinct 12,170,170,0
No Candidate Filed,House of Delegates,17,,Wayne,Precinct 12,0,0,0
Write-in,House of Delegates,17,,Wayne,Precinct 12,0,0,0
,Registered Voters,,,Wayne,Precinct 13,930,,
,Ballots Cast,,,Wayne,Precinct 13,365,365,0
,Straight Party,,REP,Wayne,Precinct 13,49,49,0
,Straight Party,,DEM,Wayne,Precinct 13,66,66,0
,Straight Party,,MTN,Wayne,Precinct 13,0,0,0
John R. Raese,US Senate,,REP,Wayne,Precinct 13,131,131,0
Joe Manchin III,US Senate,,DEM,Wayne,Precinct 13,213,213,0
Jeff Becker,US Senate,,CON,Wayne,Precinct 13,4,4,0
Jesse Johnson ,US Senate,,MTN,Wayne,Precinct 13,12,12,0
Write-in,US Senate,,,Wayne,Precinct 13,0,0,0
"Elliott E. ""Spike"" Maynard",US House,3,REP,Wayne,Precinct 13,134,134,0
"Nick Joe Rahall, II",US House,3,DEM,Wayne,Precinct 13,210,210,0
No Candidate Filed,US House,3,,Wayne,Precinct 13,0,0,0
Write-in,US House,3,,Wayne,Precinct 13,1,1,0
No Candidate Filed,State Senate,6,,Wayne,Precinct 13,0,0,0
H Truman Chafin ,State Senate,6,DEM,Wayne,Precinct 13,237,237,0
