office,district,candidate,party
US SENATE,,JOHN R RAESE,
US SENATE,,JOE MANCHIN III,
US SENATE,,JEFF BECKER,
US SENATE,,JESSE JOHNSON,
US SENATE,,JOHN R RICK BARTLETT,
US SENATE,,CHARLES G BUD RAILEY,
US SENATE,2.0,WRITE INS,
US HOUSE,3.0,ELLIOTT E SPIKE MAYNARD,
US HOUSE,3.0,NICK JOE RAHALL II,
US HOUSE,3.0,BUTCH PAUGH,
US HOUSE,2.0,SHELLEY MOORE CAPITO,REP
US HOUSE,2.0,VIRGINIA LYNCH GRAF,DEM
US HOUSE,2.0,PHIL HUDOK,
US HOUSE,3.0,NO CANDIDATE FILED,
US HOUSE,1.0,DAVID B MCKINLEY,R
US HOUSE,1.0,MIKE OLIVERIO,D
US HOUSE,2.0,WRITE INS,
STATE SENATE,10.0,JOHN HARNES,
STATE SENATE,10.0,RONALD F MILLER,
STATE SENATE,10.0,PHILIP L STEVENS,
STATE SENATE,10.0,MARK WILLS,
STATE SENATE,4.0,MIKE HALL,
STATE SENATE,15.0,JEREMY DONALD BAUSERMAN,
STATE SENATE,15.0,WALT HELMICK,
STATE SENATE,6.0,NO CANDIDATE FILED,
STATE SENATE,6.0,H TRUMAN CHAFIN,DEM
STATE SENATE,6.0,WRITE IN,
STATE SENATE,5.0,EVAN H JENKINS,DEM
STATE SENATE,7.0,RON STOLLINGS,DEM
STATE SENATE,14.0,DAVE SYPOLT,R
STATE SENATE,14.0,STEVEN L SHAFFER,D
STATE SENATE,11.0,ADAM HARRIS MILLIGAN,
STATE SENATE,11.0,GREGORY A TUCKER,
STATE SENATE,11.0,TOM THACKER,
STATE SENATE,2.0,LARRY J EDGELL,DEM
STATE SENATE,13.0,CINDY FRICH,
STATE SENATE,13.0,ROBERT BOB BEACH,
STATE SENATE,14.0,JOHN RICK BARTLETT,
STATE SENATE,16.0,CRAIG BLAIR,REP
STATE SENATE,16.0,JOHN UNGER,DEM
STATE SENATE,8.0,BOB ORE,REP
STATE SENATE,8.0,ERIK WELLS,DEM
STATE SENATE,17.0,CHARLES MINIMAH,REP
STATE SENATE,17.0,BROOKS MCCABE,DEM
STATE SENATE,17.0,DAVID B HALL,MTN
STATE SENATE,,JOSEPH M MINARD,DEM
STATE SENATE,,RUSS SNYDER,REP
HOUSE OF DELEGATES,26.0,ROY G COOPER,
HOUSE OF DELEGATES,26.0,GERALD L CROSIER,
HOUSE OF DELEGATES,27.0,RICHARD BEN FRANKLIN,
HOUSE OF DELEGATES,27.0,JOHN DAVID O NEAL IV,
HOUSE OF DELEGATES,27.0,LINDA SUMNER,
HOUSE OF DELEGATES,27.0,RICK SNUFFER,
HOUSE OF DELEGATES,27.0,WILLIAM R BILL WOOTON,
HOUSE OF DELEGATES,27.0,SALLY M SUSMAN,
HOUSE OF DELEGATES,27.0,VIRGINIA MAHAN,
HOUSE OF DELEGATES,27.0,MEL KESSLER,
HOUSE OF DELEGATES,27.0,RICK MOYE,
HOUSE OF DELEGATES,51.0,DARYL E COWLES,
HOUSE OF DELEGATES,51.0,ALTON E WOLFE JR,
HOUSE OF DELEGATES,52.0,LARRY D KUMP,
HOUSE OF DELEGATES,52.0,MIKE ROBERTS,
HOUSE OF DELEGATES,17.0,NO CANDIDATE FILED,
HOUSE OF DELEGATES,17.0,RICHARD THOMPSON,DEM
HOUSE OF DELEGATES,17.0,DON PERDUE,DEM
HOUSE OF DELEGATES,20.0,K STEVEN KOMINAR,DEM
HOUSE OF DELEGATES,16.0,KELLI SOBONYA,REP
HOUSE OF DELEGATES,16.0,T ANNE SEE,REP
HOUSE OF DELEGATES,16.0,DOUG REYNOLDS,DEM
HOUSE OF DELEGATES,16.0,DALE STEPHENS,DEM
HOUSE OF DELEGATES,42.0,JEFF TANSILL,R
HOUSE OF DELEGATES,42.0,MIKE MANYPENNY,D
HOUSE OF DELEGATES,29.0,MARSHALL W CLAY,
HOUSE OF DELEGATES,29.0,DAVID PERRY,
HOUSE OF DELEGATES,29.0,JOHN PINO,
HOUSE OF DELEGATES,29.0,MARGARET ANNE STAGGERS,
HOUSE OF DELEGATES,35.0,HAROLD PETE SIGLER,
HOUSE OF DELEGATES,35.0,SAM J ARGENTO,
HOUSE OF DELEGATES,36.0,JOE TALBOTT,
HOUSE OF DELEGATES,36.0,DUANE BORCHERS SR,
HOUSE OF DELEGATES,2.0,TIM ENNIS,DEM
HOUSE OF DELEGATES,2.0,ROY E GIVENS,DEM
HOUSE OF DELEGATES,3.0,DOLPH SANTORINE,REP
HOUSE OF DELEGATES,3.0,ERIKKA STORCH,REP
HOUSE OF DELEGATES,3.0,RYAN FERNS,DEM
HOUSE OF DELEGATES,3.0,SHAWN LUCAS FLUHARTY,DEM
HOUSE OF DELEGATES,4.0,MICHAEL T FERRO,DEM
HOUSE OF DELEGATES,4.0,SCOTT G VARNER,DEM
HOUSE OF DELEGATES,18.0,LAWRENCE B LYON JR,
HOUSE OF DELEGATES,18.0,LARRY W BARKER,
HOUSE OF DELEGATES,19.0,ELIAS GREGORY,
HOUSE OF DELEGATES,19.0,CHAD STORY,
HOUSE OF DELEGATES,19.0,RUPERT RUPIE PHILLIPS JR,
HOUSE OF DELEGATES,19.0,GREG BUTCHER,
HOUSE OF DELEGATES,19.0,JOSH STOWERS,
HOUSE OF DELEGATES,19.0,RALPH RODIGHIERO,
HOUSE OF DELEGATES,13.0,BRIAN SCOTT,REP
HOUSE OF DELEGATES,13.0,DALE MARTIN,DEM
HOUSE OF DELEGATES,13.0,BRADY R PAXTON,DEM
HOUSE OF DELEGATES,14.0,TROY ANDES,REP
HOUSE OF DELEGATES,14.0,BRIAN SAVILLA,REP
HOUSE OF DELEGATES,14.0,CATHERINE CATHY LARCK,DEM
HOUSE OF DELEGATES,5.0,DAVE PETHTEL,
HOUSE OF DELEGATES,43.0,LYNETTE KENNEDY MCQUAIN,
HOUSE OF DELEGATES,43.0,TRAVIS L BIOSSER,
HOUSE OF DELEGATES,43.0,RICK STARN,
HOUSE OF DELEGATES,43.0,TIM MANCHIN,
HOUSE OF DELEGATES,43.0,LINDA LONGSTRETH,
HOUSE OF DELEGATES,43.0,MIKE CAPUTO,
HOUSE OF DELEGATES,44.0,KEVIN SCOTT POE,
HOUSE OF DELEGATES,44.0,CHRIS WALTERS,
HOUSE OF DELEGATES,44.0,AMANDA PASDON,
HOUSE OF DELEGATES,44.0,KEVIN PATRICK JR,
HOUSE OF DELEGATES,44.0,CHARLENE MARSHALL,
HOUSE OF DELEGATES,44.0,BARBARA EVANS FLEISCHAUER,
HOUSE OF DELEGATES,44.0,ANTHONY P TONY BARILL,
HOUSE OF DELEGATES,44.0,STEPHEN LEE COOK,
HOUSE OF DELEGATES,44.0,PAUL BROWN,
HOUSE OF DELEGATES,44.0,TAD BRITCH,
HOUSE OF DELEGATES,37.0,JOAN HINZMAN SHARP,REP
HOUSE OF DELEGATES,37.0,DENISE L CAMPBELL,DEM
HOUSE OF DELEGATES,37.0,BILL HARTMAN,DEM
HOUSE OF DELEGATES,21.0,HARRY KEITH WHITE,
HOUSE OF DELEGATES,50.0,RUTH ROWAN,REP
HOUSE OF DELEGATES,50.0,ALAN MITCH DAVIS,DEM
HOUSE OF DELEGATES,50.0,WRITE INS,
HOUSE OF DELEGATES,46.0,DEBBIE STEVENS,REP
HOUSE OF DELEGATES,46.0,STAN SEAVER,DEM
HOUSE OF DELEGATES,6.0,WM ROGER ROMINE,REP
HOUSE OF DELEGATES,6.0,CHARLIE DELAUDER,DEM
HOUSE OF DELEGATES,48.0,ALLEN V EVANS,REP
HOUSE OF DELEGATES,49.0,GARY G HOWELL,REP
HOUSE OF DELEGATES,49.0,CHARLES MESSICK,DEM
HOUSE OF DELEGATES,54.0,WALTER E DUKE,REP
HOUSE OF DELEGATES,54.0,M JASON BARRETT,DEM
HOUSE OF DELEGATES,56.0,ERIC L HOUSEHOLDER,REP
HOUSE OF DELEGATES,56.0,TERRY L WALKER,DEM
HOUSE OF DELEGATES,55.0,JOHN OVERINGTON,REP
HOUSE OF DELEGATES,55.0,DONN MARSHALL,DEM
HOUSE OF DELEGATES,53.0,JONATHAN MILLER,REP
HOUSE OF DELEGATES,53.0,ROBERT V BOB MILLS,DEM
HOUSE OF DELEGATES,40.0,LONNIE L MOORE SR,REP
HOUSE OF DELEGATES,40.0,MARY M POLING,DEM
HOUSE OF DELEGATES,57.0,ELLIOT SIMON,REP
HOUSE OF DELEGATES,58.0,BLAKE THOMPSON,REP
HOUSE OF DELEGATES,57.0,JOHN DOYLE,DEM
HOUSE OF DELEGATES,58.0,TIFFANY LAWRENCE,DEM
HOUSE OF DELEGATES,,BRENT BOGGS,DEM
HOUSE OF DELEGATES,47.0,HAROLD MICHAEL,DEM
HOUSE OF DELEGATES,41.0,WILLIAM GRIFFITH,REP
HOUSE OF DELEGATES,41.0,DIANE BARTLEY,REP
HOUSE OF DELEGATES,41.0,EDWARD BUDDY RANDOLPH,REP
HOUSE OF DELEGATES,41.0,DANNY HAMRICK,REP
HOUSE OF DELEGATES,43.0,RICK STAM,REP
HOUSE OF DELEGATES,41.0,RICHARD IAQUINTA,DEM
HOUSE OF DELEGATES,41.0,SAMUEL J SAM CANN,DEM
HOUSE OF DELEGATES,41.0,RON FRAGALE,DEM
HOUSE OF DELEGATES,41.0,TIM MILEY,DEM
HOUSE OF DELEGATES,38.0,PEGGY DONALDSON SMITH,DEM
STATE HOUSE,11.0,BOB ASHLEY,
STATE HOUSE,11.0,MARK MYERS,
STATE HOUSE,12.0,MITCH B CARMICHAEL,
STATE HOUSE,12.0,JO BOGGESS PHILLIPS,
STATE HOUSE,13.0,BRIAN SCOTT,
STATE HOUSE,13.0,BRADY R PAXTON,
STATE HOUSE,13.0,DALE MARTIN,
STATE HOUSE,36.0,JOE TALBOTT,DEM
STATE HOUSE,36.0,DUANE BORCHERS SR,IND
STATE SENATE (UNEXPIRED),10.0,PHILIP L STEVENS,
STATE SENATE (UNEXPIRED),10.0,MARK WILLS,
STATE SENATOR,3.0,DAVID C NOHE,REPUBLICAN
STATE SENATOR,3.0,TIM REED,DEMOCRATIC
STATE SENATOR,15.0,JEREMY DONALD BAUSERMAN,REP
STATE SENATOR,15.0,WALT HELMICK,DEM
STATE SENATOR,15.0,WRITE INS,
STATE SENATOR,16.0,CRAIG BLAIR,REP
STATE SENATOR,16.0,JOHN UNGER,DEM
MEMBER OF HOUSE OF DELEGATES,8.0,E W BILL ANDERSON JR,REPUBLICAN
MEMBER OF HOUSE OF DELEGATES,9.0,LARRY BORDER,REPUBLICAN
MEMBER OF HOUSE OF DELEGATES,9.0,JIM MARION,DEMOCRATIC
MEMBER OF HOUSE OF DELEGATES,10.0,FREDERICK DAVID GILLESPIE,REPUBLICAN
MEMBER OF HOUSE OF DELEGATES,10.0,JOHN N ELLEM,REPUBLICAN
MEMBER OF HOUSE OF DELEGATES,10.0,TOM AZINGER,REPUBLICAN
MEMBER OF HOUSE OF DELEGATES,10.0,DAN POLING,DEMOCRATIC
US SENATOR,,JOHN R RAESE,REP
US SENATOR,,JOE MANCHIN III,DEM
US SENATOR,,JEFF BECKER,CON
US SENATOR,,JESSE JOHNSON,MTN
US SENATOR,,WRITE INS,
USSENATOR,,JESSE JOHNSON,MTN
