year,election,office,district,party,candidate,county,votes,winner
1954,general,U.S. House,1,DEM,Robert H. Mollohan,Totals,52609,TRUE
1954,general,U.S. House,1,DEM,Robert H. Mollohan,Brooke,5350,
1954,general,U.S. House,1,DEM,Robert H. Mollohan,Hancock,6063,
1954,general,U.S. House,1,DEM,Robert H. Mollohan,Marion,15278,
1954,general,U.S. House,1,DEM,Robert H. Mollohan,Marshall,6727,
1954,general,U.S. House,1,DEM,Robert H. Mollohan,Ohio,12352,
1954,general,U.S. House,1,DEM,Robert H. Mollohan,Taylor,2937,
1954,general,U.S. House,1,DEM,Robert H. Mollohan,Wetzel,3902,
1954,general,U.S. House,1,REP,Arch A. Moore,Totals,47199,
1954,general,U.S. House,1,REP,Arch A. Moore,Brooke,3481,
1954,general,U.S. House,1,REP,Arch A. Moore,Hancock,5313,
1954,general,U.S. House,1,REP,Arch A. Moore,Marion,10134,
1954,general,U.S. House,1,REP,Arch A. Moore,Marshall,6932,
1954,general,U.S. House,1,REP,Arch A. Moore,Ohio,14887,
1954,general,U.S. House,1,REP,Arch A. Moore,Taylor,3251,
1954,general,U.S. House,1,REP,Arch A. Moore,Wetzel,3201,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Totals,50283,TRUE
1954,general,U.S. House,2,DEM,Harley O. Staggers,Barbour,3909,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Berkeley,4962,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Grant,642,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Hampshire,2151,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Hardy,1955,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Jefferson,2607,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Mineral,4384,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Monongalia,9838,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Morgan,1086,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Pendleton,1968,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Pocahontas,2257,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Preston,3353,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Randolph,6210,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Tucker,2013,
1954,general,U.S. House,2,DEM,Harley O. Staggers,Webster,2948,
1954,general,U.S. House,2,REP,Albert M. Morgan,Totals,41171,
1954,general,U.S. House,2,REP,Albert M. Morgan,Barbour,3174,
1954,general,U.S. House,2,REP,Albert M. Morgan,Berkeley,4257,
1954,general,U.S. House,2,REP,Albert M. Morgan,Grant,2103,
1954,general,U.S. House,2,REP,Albert M. Morgan,Hampshire,1088,
1954,general,U.S. House,2,REP,Albert M. Morgan,Hardy,835,
1954,general,U.S. House,2,REP,Albert M. Morgan,Jefferson,1519,
1954,general,U.S. House,2,REP,Albert M. Morgan,Mineral,3260,
1954,general,U.S. House,2,REP,Albert M. Morgan,Monongalia,8969,
1954,general,U.S. House,2,REP,Albert M. Morgan,Morgan,1964,
1954,general,U.S. House,2,REP,Albert M. Morgan,Pendleton,1208,
1954,general,U.S. House,2,REP,Albert M. Morgan,Pocahontas,1621,
1954,general,U.S. House,2,REP,Albert M. Morgan,Preston,5065,
1954,general,U.S. House,2,REP,Albert M. Morgan,Randolph,3558,
1954,general,U.S. House,2,REP,Albert M. Morgan,Tucker,1335,
1954,general,U.S. House,2,REP,Albert M. Morgan,Webster,1215,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Totals,54684,TRUE
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Braxton,3851,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Calhoun,2087,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Clay,2593,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Doddridge,1016,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Fayette,13367,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Gilmer,2011,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Harrison,17660,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Lewis,3481,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Nicholas,4258,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Ritchie,1321,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Upshur,2010,
1954,general,U.S. House,3,DEM,Cleveland M. Bailey,Wirt,1029,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Totals,38218,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Braxton,2408,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Calhoun,1320,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Clay,1787,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Doddridge,1778,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Fayette,4371,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Gilmer,1049,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Harrison,12054,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Lewis,3472,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Nicholas,2543,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Ritchie,2794,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Upshur,3620,
1954,general,U.S. House,3,REP,Joseph B. Lightburn,Wirt,1022,
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Totals,56498,TRUE
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Cabell,18040,
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Jackson,2275,
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Lincoln,4621,
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Mason,3294,
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Pleasants,1376,
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Putnam,3966,
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Roane,2918,
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Tyler,1230,
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Wayne,7411,
1954,general,U.S. House,4,DEM,Dr. M.G. “Burnie” Burnside,Wood,11367,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Totals,55994,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Cabell,18199,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Jackson,3444,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Lincoln,2876,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Mason,4344,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Pleasants,1335,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Putnam,3374,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Roane,3351,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Tyler,2513,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Wayne,4283,
1954,general,U.S. House,4,REP,Dr. Will E. Neal,Wood,12275,
1954,general,U.S. House,5,DEM,Elizabeth (Mrs. John) Kee,Totals,52349,TRUE
1954,general,U.S. House,5,DEM,Elizabeth (Mrs. John) Kee,Greenbrier,5131,
1954,general,U.S. House,5,DEM,Elizabeth (Mrs. John) Kee,Mercer,11289,
1954,general,U.S. House,5,DEM,Elizabeth (Mrs. John) Kee,Mingo,8739,
1954,general,U.S. House,5,DEM,Elizabeth (Mrs. John) Kee,Monroe,2601,
1954,general,U.S. House,5,DEM,Elizabeth (Mrs. John) Kee,McDowell,15567,
1954,general,U.S. House,5,DEM,Elizabeth (Mrs. John) Kee,Summers,3466,
1954,general,U.S. House,5,DEM,Elizabeth (Mrs. John) Kee,Wyoming,5556,
1954,general,U.S. House,5,REP,Fred O. Blue,Totals,25267,
1954,general,U.S. House,5,REP,Fred O. Blue,Greenbrier,3465,
1954,general,U.S. House,5,REP,Fred O. Blue,Mercer,6951,
1954,general,U.S. House,5,REP,Fred O. Blue,Mingo,3257,
1954,general,U.S. House,5,REP,Fred O. Blue,Monroe,2525,
1954,general,U.S. House,5,REP,Fred O. Blue,McDowell,4453,
1954,general,U.S. House,5,REP,Fred O. Blue,Summers,1701,
1954,general,U.S. House,5,REP,Fred O. Blue,Wyoming,2915,
1954,general,U.S. House,6,DEM,Robert C. Byrd,Totals,73535,TRUE
1954,general,U.S. House,6,DEM,Robert C. Byrd,Boone,6465,
1954,general,U.S. House,6,DEM,Robert C. Byrd,Kanawha,40064,
1954,general,U.S. House,6,DEM,Robert C. Byrd,Logan,11611,
1954,general,U.S. House,6,DEM,Robert C. Byrd,Raleigh,15395,
1954,general,U.S. House,6,REP,"Pat B. Withrow, Jr.",Totals,43685,
1954,general,U.S. House,6,REP,"Pat B. Withrow, Jr.",Boone,2199,
1954,general,U.S. House,6,REP,"Pat B. Withrow, Jr.",Kanawha,32230,
