year,election,office,party,district,candidate,county,votes,winner,,year,election,office,party,district,candidate,county,votes,winner
1954,primary,U.S. House,DEM,1,Robert H. Mollohan,Totals,16022,TRUE,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert H. Mollohan,Brooke,1048,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert H. Mollohan,Hancock,1538,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert H. Mollohan,Marion,5882,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert H. Mollohan,Marshall,1568,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert H. Mollohan,Ohio,2462,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert H. Mollohan,Taylor,964,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert H. Mollohan,Wetzel,2560,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert L. Ramsay,Totals,8379,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert L. Ramsay,Brooke,1239,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert L. Ramsay,Hancock,2186,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert L. Ramsay,Marion,1482,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert L. Ramsay,Marshall,687,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert L. Ramsay,Ohio,1401,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert L. Ramsay,Taylor,363,,,,,,,,,,,
1954,primary,U.S. House,DEM,1,Robert L. Ramsay,Wetzel,1021,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Totals,26911,TRUE,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Barbour,1829,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Berkeley,2899,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Grant,215,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Hampshire,1412,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Hardy,1601,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Jefferson,1550,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Mineral,1563,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Monongalia,5144,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Morgan,667,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Pendleton,939,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Pocahontas,996,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Preston,674,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Randolph,4128,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Tucker,1118,,,,,,,,,,,
1954,primary,U.S. House,DEM,2,Harley O. Staggers,Webster,2176,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Totals,30329,TRUE,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Braxton,2716,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Calhoun,1555,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Clay,1572,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Doddridge,505,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Fayette,8359,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Gilmer,965,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Harrison,8409,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Lewis,1631,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Nicholas,2249,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Ritchie,755,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Upshur,992,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,Cleveland M. Bailey,Wirt,621,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Totals,6905,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Braxton,462,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Calhoun,280,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Clay,354,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Doddridge,78,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Fayette,1585,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Gilmer,203,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Harrison,2688,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Lewis,438,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Nicholas,371,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Ritchie,137,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Upshur,200,,,,,,,,,,,
1954,primary,U.S. House,DEM,3,John D. Julian,Wirt,109,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Totals,3120,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Cabell,1473,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Jackson,65,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Lincoln,185,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Mason,178,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Pleasants,20,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Putnam,274,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Roane,77,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Tyler,20,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Wayne,737,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Charles Ray,Wood,91,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Totals,27892,TRUE,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Cabell,10564,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Jackson,1197,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Lincoln,2643,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Mason,1736,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Pleasants,527,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Putnam,1805,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Roane,1449,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Tyler,333,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Wayne,4765,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Dr. M.G. “Burnie” Burnside,Wood,2873,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Totals,1244,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Cabell,320,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Jackson,70,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Lincoln,97,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Mason,70,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Pleasants,39,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Putnam,88,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Roane,101,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Tyler,27,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Wayne,151,,,,,,,,,,,
1954,primary,U.S. House,DEM,4,Eddie Austin Kirby,Wood,281,,,,,,,,,,,
