office,district,candidate,party
PRESIDENT,,BARACK OBAMA,DEM
PRESIDENT,,MITT ROMNEY,REP
PRESIDENT,,GARY JOHNSON,LIB
PRESIDENT,,JILL STEIN,MTN
PRESIDENT,,RANDALL TERRY,
PRESIDENT,,WRITE INS,
US SENATE,,JOE MANCHIN III,DEM
US SENATE,,JOHN R RAESE,REP
US SENATE,,BOB HENRY BABER,MTN
US SENATE,,WRITE INS,
US HOUSE,1.0,SUE THORN,DEM
US HOUSE,1.0,DAVID B MCKINLEY,REP
US HOUSE,3.0,NICK J RAHALL II,DEM
US HOUSE,3.0,RICK SNUFFER,REP
US HOUSE,1.0,WRITE INS,
US HOUSE,2.0,HOWARD SWINT,DEM
US HOUSE,2.0,SHELLEY MOORE CAPITO,REP
GOVERNOR,,EARL RAY TOMBLIN,DEM
GOVERNOR,,BILL MALONEY,REP
GOVERNOR,,DAVID MORAN,LIB
GOVERNOR,,JESSE JOHNSON,MTN
GOVERNOR,,WRITE INS,
SECRETARY OF STATE,,NATALIE E TENNANT,DEM
SECRETARY OF STATE,,BRIAN SAVILLA,REP
SECRETARY OF STATE,,WRITE INS,
AUDITOR,,GLEN B GAINER III,DEM
AUDITOR,,LARRY V FAIRCLOTH,REP
TREASURER,,JOHN D PERDUE,DEM
TREASURER,,MIKE HALL,REP
COMMISSIONER OF AGRICULTURE,,WALT HELMICK,DEM
COMMISSIONER OF AGRICULTURE,,KENT LEONHARDT,REP
COMMISSIONER OF AGRICULTURE,,WRITE INS,
ATTORNEY GENERAL,,DARRELL V MCGRAW JR,DEM
ATTORNEY GENERAL,,PATRICK MORRISEY,REP
ATTORNEY GENERAL,,WRITE INS,
STATE SENATE,2.0,JEFFREY V KESSLER,DEM
STATE SENATE,1.0,JACK YOST,DEM
STATE SENATE,1.0,PAT MCGEEHAN,REP
STATE SENATE,12.0,DOUG FACEMIRE,DEM
STATE SENATE,8.0,JOSHUA MARTIN,DEM
STATE SENATE,8.0,CHRIS WALTERS,REP
STATE SENATE,17.0,COREY PALUMBO,DEM
STATE SENATE,11.0,MARGARET KERR BECKWITH,DEM
STATE SENATE,14.0,BOB WILLIAMS,DEM
STATE SENATE,11.0,CLARK BARNES,REP
STATE SENATE,14.0,WRITE INS,
STATE SENATE,13.0,CASEY MAYER,
STATE SENATE,13.0,ROMAN W PREZIOSO JR,
STATE SENATE,3.0,DONNA J BOLEY,REP
