office,district,candidate,party
GOVERNOR,,BILL MALONEY,REP
GOVERNOR,,EARL RAY TOMBLIN,DEM
GOVERNOR,,BOB HENRY BABER,MTN
GOVERNOR,,MARLA DEE INGELS,IND
GOVERNOR,,HARRY V BERTRAM,IND
GOVERNOR,,WRITE INS,
GOVERNOR,,JOHN R RICK BARTLETT,
GOVERNOR,,PHIL HUDOK,
GOVERNOR,,CECIL H UNDERWOOD,
GOVERNOR,,OVER,
GOVERNOR,,UNDER,
WRITE IN,,JOHN R RICK BARTLETT,
WRITE IN,,PHIL HUDOK,
WRITE IN,,DONALD LEE UNDERWOOD,
GOVERNOR (WRITE IN),,JOHN R RICK BARTLETT,
GOVERNOR (WRITE IN),,PHIL HUDOK,
GOVERNOR (WRITE IN),,DONALD LEE UNDERWOOD,
STRAIGHT PARTY,,UBLICAN,
STRAIGHT PARTY,,OCRATIC,
STRAIGHT PARTY,,MOUNTAIN,
STRAIGHT PARTY,,OVER,
STRAIGHT PARTY,,UNDER,
