candidate,office,district,party,county,precinct,total votes,election day ,early voting
Bill Maloney ,Governor,,R,Randolph,Precinct ,200,199,0
Ralph William Clark,Governor,,R,Randolph,Precinct ,3,3,0
Larry V. Faircloth,Governor,,R,Randolph,Precinct ,5,5,0
Mark A. Sorsaia,Governor,,R,Randolph,Precinct ,7,7,0
Clark Barnes,Governor,,R,Randolph,Precinct ,383,381,0
Cliff Ellis,Governor,,R,Randolph,Precinct ,0,0,0
Betty Ireland,Governor,,R,Randolph,Precinct ,154,154,0
Mitch B. Carmichael ,Governor,,R,Randolph,Precinct ,8,8,0
Earl Ray Tomblin,Governor,,D,Randolph,Precinct ,1085,1084,0
Jeffrey V. Kessler ,Governor,,D,Randolph,Precinct ,96,96,0
John D. Perdue,Governor,,D,Randolph,Precinct ,225,224,0
Rick Thompson,Governor,,D,Randolph,Precinct ,438,438,0
Arne Moltis,Governor,,D,Randolph,Precinct ,8,8,0
Natalie E. Tennant ,Governor,,D,Randolph,Precinct ,557,556,0
Bill Maloney ,Governor,,R,Randolph,Precinct ,200,199,0
Ralph William Clark,Governor,,R,Randolph,Precinct ,3,3,0
Larry V. Faircloth,Governor,,R,Randolph,Precinct ,5,5,0
Mark A. Sorsaia,Governor,,R,Randolph,Precinct ,7,7,0
Clark Barnes,Governor,,R,Randolph,Precinct ,383,381,0
Cliff Ellis,Governor,,R,Randolph,Precinct ,0,0,0
Betty Ireland,Governor,,R,Randolph,Precinct ,154,154,0
Mitch B. Carmichael ,Governor,,R,Randolph,Precinct ,8,8,0
Earl Ray Tomblin,Governor,,D,Randolph,Precinct ,1085,1084,0
Jeffrey V. Kessler ,Governor,,D,Randolph,Precinct ,96,96,0
John D. Perdue,Governor,,D,Randolph,Precinct ,225,224,0
Rick Thompson,Governor,,D,Randolph,Precinct ,438,438,0
Arne Moltis,Governor,,D,Randolph,Precinct ,8,8,0
Natalie E. Tennant ,Governor,,D,Randolph,Precinct ,557,556,0
Bill Maloney ,Governor,,R,Randolph,Precinct 23,9,9,0
Ralph William Clark,Governor,,R,Randolph,Precinct 23,0,0,0
Larry V. Faircloth,Governor,,R,Randolph,Precinct 23,0,0,0
Mark A. Sorsaia,Governor,,R,Randolph,Precinct 23,2,2,0
Clark Barnes,Governor,,R,Randolph,Precinct 23,18,18,0
Cliff Ellis,Governor,,R,Randolph,Precinct 23,0,0,0
Betty Ireland,Governor,,R,Randolph,Precinct 23,12,12,0
Mitch B. Carmichael ,Governor,,R,Randolph,Precinct 23,0,0,0
Earl Ray Tomblin,Governor,,D,Randolph,Precinct 23,79,79,0
Jeffrey V. Kessler ,Governor,,D,Randolph,Precinct 23,8,8,0
John D. Perdue,Governor,,D,Randolph,Precinct 23,12,12,0
Rick Thompson,Governor,,D,Randolph,Precinct 23,25,25,0
Arne Moltis,Governor,,D,Randolph,Precinct 23,1,1,0
Natalie E. Tennant ,Governor,,D,Randolph,Precinct 23,48,48,0
Bill Maloney ,Governor,,R,Randolph,Precinct 24,7,7,0
Ralph William Clark,Governor,,R,Randolph,Precinct 24,0,0,0
Larry V. Faircloth,Governor,,R,Randolph,Precinct 24,0,0,0
Mark A. Sorsaia,Governor,,R,Randolph,Precinct 24,0,0,0
Clark Barnes,Governor,,R,Randolph,Precinct 24,5,5,0
Cliff Ellis,Governor,,R,Randolph,Precinct 24,0,0,0
Betty Ireland,Governor,,R,Randolph,Precinct 24,2,2,0
Mitch B. Carmichael ,Governor,,R,Randolph,Precinct 24,0,0,0
Earl Ray Tomblin,Governor,,D,Randolph,Precinct 24,38,38,0
Jeffrey V. Kessler ,Governor,,D,Randolph,Precinct 24,3,3,0
John D. Perdue,Governor,,D,Randolph,Precinct 24,4,4,0
Rick Thompson,Governor,,D,Randolph,Precinct 24,13,13,0
Arne Moltis,Governor,,D,Randolph,Precinct 24,1,1,0
Natalie E. Tennant ,Governor,,D,Randolph,Precinct 24,15,15,0
Bill Maloney ,Governor,,R,Randolph,Precinct 25,8,8,0
Ralph William Clark,Governor,,R,Randolph,Precinct 25,0,0,0
Larry V. Faircloth,Governor,,R,Randolph,Precinct 25,0,0,0
Mark A. Sorsaia,Governor,,R,Randolph,Precinct 25,0,0,0
Clark Barnes,Governor,,R,Randolph,Precinct 25,17,17,0
Cliff Ellis,Governor,,R,Randolph,Precinct 25,0,0,0
Betty Ireland,Governor,,R,Randolph,Precinct 25,9,9,0
Mitch B. Carmichael ,Governor,,R,Randolph,Precinct 25,0,0,0
Earl Ray Tomblin,Governor,,D,Randolph,Precinct 25,37,37,0
Jeffrey V. Kessler ,Governor,,D,Randolph,Precinct 25,12,12,0
John D. Perdue,Governor,,D,Randolph,Precinct 25,6,6,0
Rick Thompson,Governor,,D,Randolph,Precinct 25,20,20,0
Arne Moltis,Governor,,D,Randolph,Precinct 25,0,0,0
Natalie E. Tennant ,Governor,,D,Randolph,Precinct 25,48,48,0
Bill Maloney ,Governor,,R,Randolph,Precinct 27,3,3,0
Ralph William Clark,Governor,,R,Randolph,Precinct 27,0,0,0
Larry V. Faircloth,Governor,,R,Randolph,Precinct 27,1,1,0
Mark A. Sorsaia,Governor,,R,Randolph,Precinct 27,0,0,0
Clark Barnes,Governor,,R,Randolph,Precinct 27,18,18,0
Cliff Ellis,Governor,,R,Randolph,Precinct 27,0,0,0
Betty Ireland,Governor,,R,Randolph,Precinct 27,9,9,0
Mitch B. Carmichael ,Governor,,R,Randolph,Precinct 27,2,2,0
Earl Ray Tomblin,Governor,,D,Randolph,Precinct 27,39,39,0
Jeffrey V. Kessler ,Governor,,D,Randolph,Precinct 27,1,1,0
John D. Perdue,Governor,,D,Randolph,Precinct 27,8,8,0
Rick Thompson,Governor,,D,Randolph,Precinct 27,19,19,0
Arne Moltis,Governor,,D,Randolph,Precinct 27,1,1,0
Natalie E. Tennant ,Governor,,D,Randolph,Precinct 27,18,18,0
Bill Maloney ,Governor,,R,Randolph,Precinct 28,3,3,0
Ralph William Clark,Governor,,R,Randolph,Precinct 28,0,0,0
Larry V. Faircloth,Governor,,R,Randolph,Precinct 28,1,1,0
Mark A. Sorsaia,Governor,,R,Randolph,Precinct 28,0,0,0
Clark Barnes,Governor,,R,Randolph,Precinct 28,17,17,0
Cliff Ellis,Governor,,R,Randolph,Precinct 28,0,0,0
Betty Ireland,Governor,,R,Randolph,Precinct 28,2,2,0
Mitch B. Carmichael ,Governor,,R,Randolph,Precinct 28,0,0,0
Earl Ray Tomblin,Governor,,D,Randolph,Precinct 28,36,36,0
Jeffrey V. Kessler ,Governor,,D,Randolph,Precinct 28,5,5,0
John D. Perdue,Governor,,D,Randolph,Precinct 28,6,6,0
Rick Thompson,Governor,,D,Randolph,Precinct 28,14,14,0
Arne Moltis,Governor,,D,Randolph,Precinct 28,1,1,0
Natalie E. Tennant ,Governor,,D,Randolph,Precinct 28,11,11,0
Bill Maloney ,Governor,,R,Randolph,Precinct 28A,7,7,0
Ralph William Clark,Governor,,R,Randolph,Precinct 28A,0,0,0
Larry V. Faircloth,Governor,,R,Randolph,Precinct 28A,0,0,0
Mark A. Sorsaia,Governor,,R,Randolph,Precinct 28A,0,0,0
Clark Barnes,Governor,,R,Randolph,Precinct 28A,11,10,0
Cliff Ellis,Governor,,R,Randolph,Precinct 28A,0,0,0
Betty Ireland,Governor,,R,Randolph,Precinct 28A,5,5,0
Mitch B. Carmichael ,Governor,,R,Randolph,Precinct 28A,0,0,0
Earl Ray Tomblin,Governor,,D,Randolph,Precinct 28A,23,23,0
Jeffrey V. Kessler ,Governor,,D,Randolph,Precinct 28A,2,2,0
John D. Perdue,Governor,,D,Randolph,Precinct 28A,3,3,0
Rick Thompson,Governor,,D,Randolph,Precinct 28A,17,17,0
Arne Moltis,Governor,,D,Randolph,Precinct 28A,1,1,0
Natalie E. Tennant ,Governor,,D,Randolph,Precinct 28A,10,10,0
Bill Maloney ,Governor,,R,Randolph,Precinct 30,12,12,0
Ralph William Clark,Governor,,R,Randolph,Precinct 30,1,1,0
Larry V. Faircloth,Governor,,R,Randolph,Precinct 30,0,0,0
Mark A. Sorsaia,Governor,,R,Randolph,Precinct 30,0,0,0
Clark Barnes,Governor,,R,Randolph,Precinct 30,7,7,0
Cliff Ellis,Governor,,R,Randolph,Precinct 30,0,0,0
Betty Ireland,Governor,,R,Randolph,Precinct 30,4,4,0
Mitch B. Carmichael ,Governor,,R,Randolph,Precinct 30,0,0,0
Earl Ray Tomblin,Governor,,D,Randolph,Precinct 30,31,31,0
Jeffrey V. Kessler ,Governor,,D,Randolph,Precinct 30,5,5,0
John D. Perdue,Governor,,D,Randolph,Precinct 30,4,4,0
Rick Thompson,Governor,,D,Randolph,Precinct 30,12,12,0
Arne Moltis,Governor,,D,Randolph,Precinct 30,0,0,0
Natalie E. Tennant ,Governor,,D,Randolph,Precinct 30,21,21,0
Bill Maloney ,Governor,,R,Randolph,Precinct 31,2,2,0
Ralph William Clark,Governor,,R,Randolph,Precinct 31,0,0,0
Larry V. Faircloth,Governor,,R,Randolph,Precinct 31,0,0,0
Mark A. Sorsaia,Governor,,R,Randolph,Precinct 31,0,0,0
Clark Barnes,Governor,,R,Randolph,Precinct 31,3,3,0
