candidate,office,district,party,county,precinct,votes,election_day,early_voting
,Registered Voters,,,Jefferson,Precinct 2,1144,,
,Ballots Cast,,,Jefferson,Precinct 2,165,105,60
,Straight Party,,Republican,Jefferson,Precinct 2,22,19,3
,Straight Party,,Democratic,Jefferson,Precinct 2,31,25,6
,Straight Party,,Mountain,Jefferson,Precinct 2,0,0,0
Bill Maloney,Governor,,REP,Jefferson,Precinct 2,66,42,24
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 2,95,59,36
Bob Henry Baber,Governor,,MTN,Jefferson,Precinct 2,1,1,0
Marla Dee Ingels,Governor,,IND,Jefferson,Precinct 2,0,0,0
Harry V. Bertram,Governor,,ATP,Jefferson,Precinct 2,0,0,0
Write-ins,Governor,,,Jefferson,Precinct 2,2,2,0
,Registered Voters,,,Jefferson,Precinct 3,1320,,
,Ballots Cast,,,Jefferson,Precinct 3,269,166,103
,Straight Party,,Republican,Jefferson,Precinct 3,20,16,4
,Straight Party,,Democratic,Jefferson,Precinct 3,31,23,8
,Straight Party,,Mountain,Jefferson,Precinct 3,1,1,0
Bill Maloney,Governor,,REP,Jefferson,Precinct 3,115,78,37
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 3,143,84,59
Bob Henry Baber,Governor,,MTN,Jefferson,Precinct 3,9,4,5
Marla Dee Ingels,Governor,,IND,Jefferson,Precinct 3,2,1,1
Harry V. Bertram,Governor,,ATP,Jefferson,Precinct 3,1,0,1
Write-ins,Governor,,,Jefferson,Precinct 3,0,0,0
,Registered Voters,,,Jefferson,Precinct 4A,1371,,
,Ballots Cast,,,Jefferson,Precinct 4A,196,139,57
,Straight Party,,Republican,Jefferson,Precinct 4A,32,29,3
,Straight Party,,Democratic,Jefferson,Precinct 4A,23,17,6
,Straight Party,,Mountain,Jefferson,Precinct 4A,0,0,0
Bill Maloney,Governor,,REP,Jefferson,Precinct 4A,115,84,31
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 4A,77,53,24
Bob Henry Baber,Governor,,MTN,Jefferson,Precinct 4A,3,2,1
Marla Dee Ingels,Governor,,IND,Jefferson,Precinct 4A,1,0,1
Harry V. Bertram,Governor,,ATP,Jefferson,Precinct 4A,0,0,0
Write-ins,Governor,,,Jefferson,Precinct 4A,0,0,0
,Registered Voters,,,Jefferson,Precinct 4B,1288,,
,Ballots Cast,,,Jefferson,Precinct 4B,188,125,63
,Straight Party,,Republican,Jefferson,Precinct 4B,29,24,5
,Straight Party,,Democratic,Jefferson,Precinct 4B,11,7,4
,Straight Party,,Mountain,Jefferson,Precinct 4B,1,1,0
Bill Maloney,Governor,,REP,Jefferson,Precinct 4B,104,78,26
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 4B,75,39,36
Bob Henry Baber,Governor,,MTN,Jefferson,Precinct 4B,4,4,0
Marla Dee Ingels,Governor,,IND,Jefferson,Precinct 4B,3,2,1
Harry V. Bertram,Governor,,ATP,Jefferson,Precinct 4B,2,2,0
Write-ins,Governor,,,Jefferson,Precinct 4B,0,0,0
,Registered Voters,,,Jefferson,Precinct 6,481,,
,Ballots Cast,,,Jefferson,Precinct 6,59,42,17
,Straight Party,,Republican,Jefferson,Precinct 6,3,3,0
,Straight Party,,Democratic,Jefferson,Precinct 6,10,9,1
,Straight Party,,Mountain,Jefferson,Precinct 6,0,0,0
Bill Maloney,Governor,,REP,Jefferson,Precinct 6,23,18,5
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 6,24,23,11
Bob Henry Baber,Governor,,MTN,Jefferson,Precinct 6,1,1,0
Marla Dee Ingels,Governor,,IND,Jefferson,Precinct 6,1,0,1
Harry V. Bertram,Governor,,ATP,Jefferson,Precinct 6,0,0,0
Write-ins,Governor,,,Jefferson,Precinct 6,0,0,0
,Registered Voters,,,Jefferson,Precinct 7,1305,,
,Ballots Cast,,,Jefferson,Precinct 7,143,117,26
,Straight Party,,Republican,Jefferson,Precinct 7,2,0,2
,Straight Party,,Democratic,Jefferson,Precinct 7,5,0,5
,Straight Party,,Mountain,Jefferson,Precinct 7,0,0,0
Bill Maloney,Governor,,REP,Jefferson,Precinct 7,46,39,7
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 7,95,76,19
Bob Henry Baber,Governor,,MTN,Jefferson,Precinct 7,0,0,0
Marla Dee Ingels,Governor,,IND,Jefferson,Precinct 7,3,3,0
Harry V. Bertram,Governor,,ATP,Jefferson,Precinct 7,0,0,0
Write-ins,Governor,,,Jefferson,Precinct 7,0,0,0
,Registered Voters,,,Jefferson,Precinct 12,1667,,
,Ballots Cast,,,Jefferson,Precinct 12,245,187,58
,Straight Party,,Republican,Jefferson,Precinct 12,38,36,2
,Straight Party,,Democratic,Jefferson,Precinct 12,26,23,3
,Straight Party,,Mountain,Jefferson,Precinct 12,1,1,0
Bill Maloney,Governor,,REP,Jefferson,Precinct 12,145,107,38
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 12,92,72,20
Bob Henry Baber,Governor,,MTN,Jefferson,Precinct 12,5,5,0
Marla Dee Ingels,Governor,,IND,Jefferson,Precinct 12,3,3,0
Harry V. Bertram,Governor,,ATP,Jefferson,Precinct 12,0,0,0
Write-ins,Governor,,,Jefferson,Precinct 12,0,0,0
,Registered Voters,,,Jefferson,Precinct 13A,950,,
,Ballots Cast,,,Jefferson,Precinct 13A,194,151,43
,Straight Party,,Republican,Jefferson,Precinct 13A,25,21,4
,Straight Party,,Democratic,Jefferson,Precinct 13A,17,13,4
,Straight Party,,Mountain,Jefferson,Precinct 13A,0,0,0
Bill Maloney,Governor,,REP,Jefferson,Precinct 13A,122,100,22
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 13A,70,51,19
Bob Henry Baber,Governor,,MTN,Jefferson,Precinct 13A,2,0,2
Marla Dee Ingels,Governor,,IND,Jefferson,Precinct 13A,0,0,0
Harry V. Bertram,Governor,,ATP,Jefferson,Precinct 13A,1,1,0
Write-ins,Governor,,,Jefferson,Precinct 13A,0,0,0
,Registered Voters,,,Jefferson,Precinct 13B,892,,
,Ballots Cast,,,Jefferson,Precinct 13B,163,129,34
,Straight Party,,Republican,Jefferson,Precinct 13B,33,24,9
,Straight Party,,Democratic,Jefferson,Precinct 13B,7,6,1
,Straight Party,,Mountain,Jefferson,Precinct 13B,0,0,0
Bill Maloney,Governor,,REP,Jefferson,Precinct 13B,107,86,21
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 13B,51,40,11
Bob Henry Baber,Governor,,MTN,Jefferson,Precinct 13B,0,0,0
Marla Dee Ingels,Governor,,IND,Jefferson,Precinct 13B,6,4,2
Harry V. Bertram,Governor,,ATP,Jefferson,Precinct 13B,0,0,0
Write-ins,Governor,,,Jefferson,Precinct 13B,0,0,0
,Registered Voters,,,Jefferson,Precinct 14,278,,
,Ballots Cast,,,Jefferson,Precinct 14,99,89,10
,Straight Party,,Republican,Jefferson,Precinct 14,5,4,1
