candidate,office,district,party,county,precinct,votes
Earl Ray Tomblin,Governor,,D,Jackson,Precinct 1,15
Jeffrey V. Kessler,Governor,,D,Jackson,Precinct 1,0
John D. Perdue,Governor,,D,Jackson,Precinct 1,4
Rick Thompson,Governor,,D,Jackson,Precinct 1,17
Arne Moltis,Governor,,D,Jackson,Precinct 1,0
Natalie E. Tennant,Governor,,D,Jackson,Precinct 1,18
Bill Maloney,Governor,,R,Jackson,Precinct 1,8
Ralph William Clark,Governor,,R,Jackson,Precinct 1,0
Larry V. Faircloth,Governor,,R,Jackson,Precinct 1,0
Mark A. Sorsaia,Governor,,R,Jackson,Precinct 1,0
Clark Barnes,Governor,,R,Jackson,Precinct 1,0
Cliff Ellis,Governor,,R,Jackson,Precinct 1,1
Betty Ireland,Governor,,R,Jackson,Precinct 1,7
Mitch B. Carmichael,Governor,,R,Jackson,Precinct 1,6
Earl Ray Tomblin,Governor,,D,Jackson,Precinct 2,20
Jeffrey V. Kessler,Governor,,D,Jackson,Precinct 2,1
John D. Perdue,Governor,,D,Jackson,Precinct 2,7
Rick Thompson,Governor,,D,Jackson,Precinct 2,19
Arne Moltis,Governor,,D,Jackson,Precinct 2,0
Natalie E. Tennant,Governor,,D,Jackson,Precinct 2,13
Bill Maloney,Governor,,R,Jackson,Precinct 2,15
Ralph William Clark,Governor,,R,Jackson,Precinct 2,0
Larry V. Faircloth,Governor,,R,Jackson,Precinct 2,0
Mark A. Sorsaia,Governor,,R,Jackson,Precinct 2,2
Clark Barnes,Governor,,R,Jackson,Precinct 2,0
Cliff Ellis,Governor,,R,Jackson,Precinct 2,0
Betty Ireland,Governor,,R,Jackson,Precinct 2,6
Mitch B. Carmichael,Governor,,R,Jackson,Precinct 2,7
Earl Ray Tomblin,Governor,,D,Jackson,Precinct 3,13
Jeffrey V. Kessler,Governor,,D,Jackson,Precinct 3,0
John D. Perdue,Governor,,D,Jackson,Precinct 3,5
Rick Thompson,Governor,,D,Jackson,Precinct 3,28
Arne Moltis,Governor,,D,Jackson,Precinct 3,0
Natalie E. Tennant,Governor,,D,Jackson,Precinct 3,18
Bill Maloney,Governor,,R,Jackson,Precinct 3,21
Ralph William Clark,Governor,,R,Jackson,Precinct 3,0
Larry V. Faircloth,Governor,,R,Jackson,Precinct 3,0
Mark A. Sorsaia,Governor,,R,Jackson,Precinct 3,0
Clark Barnes,Governor,,R,Jackson,Precinct 3,0
Cliff Ellis,Governor,,R,Jackson,Precinct 3,0
Betty Ireland,Governor,,R,Jackson,Precinct 3,11
Mitch B. Carmichael,Governor,,R,Jackson,Precinct 3,17
Earl Ray Tomblin,Governor,,D,Jackson,Precinct 4,23
Jeffrey V. Kessler,Governor,,D,Jackson,Precinct 4,1
John D. Perdue,Governor,,D,Jackson,Precinct 4,9
Rick Thompson,Governor,,D,Jackson,Precinct 4,17
Arne Moltis,Governor,,D,Jackson,Precinct 4,0
Natalie E. Tennant,Governor,,D,Jackson,Precinct 4,6
Bill Maloney,Governor,,R,Jackson,Precinct 4,15
Ralph William Clark,Governor,,R,Jackson,Precinct 4,0
Larry V. Faircloth,Governor,,R,Jackson,Precinct 4,0
Mark A. Sorsaia,Governor,,R,Jackson,Precinct 4,0
Clark Barnes,Governor,,R,Jackson,Precinct 4,0
Cliff Ellis,Governor,,R,Jackson,Precinct 4,0
Betty Ireland,Governor,,R,Jackson,Precinct 4,7
Mitch B. Carmichael,Governor,,R,Jackson,Precinct 4,3
Earl Ray Tomblin,Governor,,D,Jackson,Precinct 5,32
Jeffrey V. Kessler,Governor,,D,Jackson,Precinct 5,0
John D. Perdue,Governor,,D,Jackson,Precinct 5,4
Rick Thompson,Governor,,D,Jackson,Precinct 5,20
Arne Moltis,Governor,,D,Jackson,Precinct 5,0
Natalie E. Tennant,Governor,,D,Jackson,Precinct 5,17
Bill Maloney,Governor,,R,Jackson,Precinct 5,11
Ralph William Clark,Governor,,R,Jackson,Precinct 5,0
Larry V. Faircloth,Governor,,R,Jackson,Precinct 5,1
Mark A. Sorsaia,Governor,,R,Jackson,Precinct 5,1
Clark Barnes,Governor,,R,Jackson,Precinct 5,0
Cliff Ellis,Governor,,R,Jackson,Precinct 5,0
Betty Ireland,Governor,,R,Jackson,Precinct 5,9
Mitch B. Carmichael,Governor,,R,Jackson,Precinct 5,14
Earl Ray Tomblin,Governor,,D,Jackson,Precinct 6,27
Jeffrey V. Kessler,Governor,,D,Jackson,Precinct 6,2
John D. Perdue,Governor,,D,Jackson,Precinct 6,6
Rick Thompson,Governor,,D,Jackson,Precinct 6,16
Arne Moltis,Governor,,D,Jackson,Precinct 6,0
Natalie E. Tennant,Governor,,D,Jackson,Precinct 6,8
Bill Maloney,Governor,,R,Jackson,Precinct 6,13
Ralph William Clark,Governor,,R,Jackson,Precinct 6,0
Larry V. Faircloth,Governor,,R,Jackson,Precinct 6,0
Mark A. Sorsaia,Governor,,R,Jackson,Precinct 6,1
Clark Barnes,Governor,,R,Jackson,Precinct 6,0
Cliff Ellis,Governor,,R,Jackson,Precinct 6,0
Betty Ireland,Governor,,R,Jackson,Precinct 6,6
Mitch B. Carmichael,Governor,,R,Jackson,Precinct 6,10
Earl Ray Tomblin,Governor,,D,Jackson,Precinct 7,27
Jeffrey V. Kessler,Governor,,D,Jackson,Precinct 7,0
