candidate,office,district,party,county,precinct,total votes,election day,early voting
,Registered Voters,,R,Wayne,Precinct 1,283,,
,Registered Voters,,D,Wayne,Precinct 1,879,,
,Ballots Cast ,,R,Wayne,Precinct 1,34,34,0
,Ballots Cast ,,D,Wayne,Precinct 1,179,179,0
Bill Maloney ,Governor,,R,Wayne,Precinct 1,14,14,0
Ralph William Clark,Governor,,R,Wayne,Precinct 1,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 1,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 1,1,1,0
Clark Barnes,Governor,,R,Wayne,Precinct 1,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 1,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 1,17,17,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 1,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 1,44,44,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 1,2,2,0
John D. Perdue,Governor,,D,Wayne,Precinct 1,3,3,0
Rick Thompson,Governor,,D,Wayne,Precinct 1,124,124,0
Arne Moltis,Governor,,D,Wayne,Precinct 1,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 1,6,6,0
,Registered Voters,,R,Wayne,Precinct 3,144,,
,Registered Voters,,D,Wayne,Precinct 3,505,,
,Ballots Cast ,,R,Wayne,Precinct 3,28,28,0
,Ballots Cast ,,D,Wayne,Precinct 3,118,118,0
Bill Maloney ,Governor,,R,Wayne,Precinct 3,10,10,0
Ralph William Clark,Governor,,R,Wayne,Precinct 3,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 3,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 3,2,2,0
Clark Barnes,Governor,,R,Wayne,Precinct 3,2,2,0
Cliff Ellis,Governor,,R,Wayne,Precinct 3,1,1,0
Betty Ireland,Governor,,R,Wayne,Precinct 3,12,12,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 3,1,1,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 3,24,24,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 3,1,1,0
John D. Perdue,Governor,,D,Wayne,Precinct 3,2,2,0
Rick Thompson,Governor,,D,Wayne,Precinct 3,87,87,0
Arne Moltis,Governor,,D,Wayne,Precinct 3,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 3,3,3,0
,Registered Voters,,R,Wayne,Precinct 5,193,,
,Registered Voters,,D,Wayne,Precinct 5,642,,
,Ballots Cast ,,R,Wayne,Precinct 5,27,27,0
,Ballots Cast ,,D,Wayne,Precinct 5,133,133,0
Bill Maloney ,Governor,,R,Wayne,Precinct 5,17,17,0
Ralph William Clark,Governor,,R,Wayne,Precinct 5,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 5,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 5,0,0,0
Clark Barnes,Governor,,R,Wayne,Precinct 5,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 5,1,1,0
Betty Ireland,Governor,,R,Wayne,Precinct 5,9,9,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 5,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 5,15,15,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 5,2,2,0
John D. Perdue,Governor,,D,Wayne,Precinct 5,5,5,0
Rick Thompson,Governor,,D,Wayne,Precinct 5,99,99,0
Arne Moltis,Governor,,D,Wayne,Precinct 5,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 5,9,9,0
,Registered Voters,,R,Wayne,Precinct 6,121,,
,Registered Voters,,D,Wayne,Precinct 6,580,,
,Ballots Cast ,,R,Wayne,Precinct 6,13,13,0
,Ballots Cast ,,D,Wayne,Precinct 6,54,54,0
Bill Maloney ,Governor,,R,Wayne,Precinct 6,4,4,0
Ralph William Clark,Governor,,R,Wayne,Precinct 6,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 6,1,1,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 6,3,3,0
Clark Barnes,Governor,,R,Wayne,Precinct 6,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 6,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 6,5,5,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 6,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 6,10,10,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 6,0,0,0
John D. Perdue,Governor,,D,Wayne,Precinct 6,3,3,0
Rick Thompson,Governor,,D,Wayne,Precinct 6,37,37,0
Arne Moltis,Governor,,D,Wayne,Precinct 6,0,0,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 6,3,3,0
,Registered Voters,,R,Wayne,Precinct 11,151,,
,Registered Voters,,D,Wayne,Precinct 11,355,,
,Ballots Cast ,,R,Wayne,Precinct 11,15,15,0
,Ballots Cast ,,D,Wayne,Precinct 11,63,63,0
Bill Maloney ,Governor,,R,Wayne,Precinct 11,8,8,0
Ralph William Clark,Governor,,R,Wayne,Precinct 11,0,0,0
Larry V. Faircloth,Governor,,R,Wayne,Precinct 11,0,0,0
Mark A. Sorsaia,Governor,,R,Wayne,Precinct 11,2,2,0
Clark Barnes,Governor,,R,Wayne,Precinct 11,0,0,0
Cliff Ellis,Governor,,R,Wayne,Precinct 11,0,0,0
Betty Ireland,Governor,,R,Wayne,Precinct 11,5,5,0
Mitch B. Carmichael ,Governor,,R,Wayne,Precinct 11,0,0,0
Earl Ray Tomblin,Governor,,D,Wayne,Precinct 11,29,29,0
Jeffrey V. Kessler ,Governor,,D,Wayne,Precinct 11,1,1,0
John D. Perdue,Governor,,D,Wayne,Precinct 11,0,0,0
Rick Thompson,Governor,,D,Wayne,Precinct 11,30,30,0
Arne Moltis,Governor,,D,Wayne,Precinct 11,1,1,0
Natalie E. Tennant,Governor,,D,Wayne,Precinct 11,0,0,0
,Registered Voters,,R,Wayne,Precinct 12,149,,
,Registered Voters,,D,Wayne,Precinct 12,377,,
,Ballots Cast ,,R,Wayne,Precinct 12,31,31,0
