year,election,office,party,candidate,county,votes,winner
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Totals,130617,TRUE
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Barbour,1970,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Berkeley,1648,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Boone,843,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Braxton,1082,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Brooke,2164,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Cabell,3901,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Calhoun,417,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Clay,725,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Doddridge,1154,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Fayette,3537,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Gilmer,449,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Grant,1025,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Greenbrier,1676,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Hampshire,268,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Hancock,3113,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Hardy,226,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Harrison,8267,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Jackson,2026,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Jefferson,411,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Kanawha,16743,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Lewis,2693,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Lincoln,1355,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Logan,2136,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Marion,5068,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Marshall,3699,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Mason,2557,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Mercer,3536,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Mineral,1506,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Mingo,1580,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Monongalia,5014,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Monroe,1091,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Morgan,871,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,McDowell,2910,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Nicholas,973,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Ohio,8426,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Pendleton,484,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Pleasants,651,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Pocahontas,926,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Preston,3114,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Putnam,1452,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Raleigh,4005,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Randolph,1277,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Ritchie,1969,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Roane,1617,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Summers,734,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Taylor,1873,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Tucker,804,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Tyler,1460,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Upshur,2266,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Wayne,1889,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Webster,426,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Wetzel,1236,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Wirt,565,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Wood,7222,
1952,primary,Judge of the Supreme Court of Appeals,REP,Frank Eaton,Wyoming,1587,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Totals,134436,TRUE
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Barbour,1501,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Berkeley,1695,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Boone,1092,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Braxton,969,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Brooke,2056,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Cabell,2230,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Calhoun,446,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Clay,984,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Doddridge,964,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Fayette,3990,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Gilmer,386,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Grant,974,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Greenbrier,1732,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Hampshire,246,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Hancock,2997,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Hardy,250,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Harrison,7650,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Jackson,2269,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Jefferson,429,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Kanawha,24849,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Lewis,2110,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Lincoln,1272,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Logan,2246,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Marion,5490,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Marshall,3495,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Mason,2692,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Mercer,3633,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Mineral,1887,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Mingo,1452,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Monongalia,4684,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Monroe,1112,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Morgan,827,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,McDowell,3044,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Nicholas,1113,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Ohio,7132,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Pendleton,562,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Pleasants,609,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Pocahontas,839,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Preston,2871,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Putnam,1788,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Raleigh,4703,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Randolph,1194,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Ritchie,1786,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Roane,2056,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Summers,865,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Taylor,1745,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Tucker,722,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Tyler,1311,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Upshur,1971,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Wayne,1061,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Webster,400,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Wetzel,1143,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Wirt,592,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Wood,6431,
1952,primary,Judge of the Supreme Court of Appeals,REP,Charles Ritchie,Wyoming,1889,
1952,primary,Judge of the Supreme Court of Appeals,DEM,Frank C. Haymond,Totals,190336,
1952,primary,Judge of the Supreme Court of Appeals,DEM,Frank C. Haymond,Barbour,2387,
1952,primary,Judge of the Supreme Court of Appeals,DEM,Frank C. Haymond,Berkeley,2037,
1952,primary,Judge of the Supreme Court of Appeals,DEM,Frank C. Haymond,Boone,2535,
1952,primary,Judge of the Supreme Court of Appeals,DEM,Frank C. Haymond,Braxton,2585,
1952,primary,Judge of the Supreme Court of Appeals,DEM,Frank C. Haymond,Brooke,3221,
1952,primary,Judge of the Supreme Court of Appeals,DEM,Frank C. Haymond,Cabell,2239,
1952,primary,Judge of the Supreme Court of Appeals,DEM,Frank C. Haymond,Calhoun,1027,
1952,primary,Judge of the Supreme Court of Appeals,DEM,Frank C. Haymond,Clay,1378,
1952,primary,Judge of the Supreme Court of Appeals,DEM,Frank C. Haymond,Doddridge,526,
