year,election,office,party,candidate,county,votes,winner
1952,primary,Governor,REP,John T. Copenhaver,Totals,66717,
1952,primary,Governor,REP,John T. Copenhaver,Barbour,226,
1952,primary,Governor,REP,John T. Copenhaver,Berkeley,281,
1952,primary,Governor,REP,John T. Copenhaver,Boone,903,
1952,primary,Governor,REP,John T. Copenhaver,Braxton,371,
1952,primary,Governor,REP,John T. Copenhaver,Brooke,617,
1952,primary,Governor,REP,John T. Copenhaver,Cabell,3046,
1952,primary,Governor,REP,John T. Copenhaver,Calhoun,204,
1952,primary,Governor,REP,John T. Copenhaver,Clay,1033,
1952,primary,Governor,REP,John T. Copenhaver,Doddridge,99,
1952,primary,Governor,REP,John T. Copenhaver,Fayette,2639,
1952,primary,Governor,REP,John T. Copenhaver,Gilmer,78,
1952,primary,Governor,REP,John T. Copenhaver,Grant,88,
1952,primary,Governor,REP,John T. Copenhaver,Greenbrier,854,
1952,primary,Governor,REP,John T. Copenhaver,Hampshire,45,
1952,primary,Governor,REP,John T. Copenhaver,Hancock,692,
1952,primary,Governor,REP,John T. Copenhaver,Hardy,89,
1952,primary,Governor,REP,John T. Copenhaver,Harrison,540,
1952,primary,Governor,REP,John T. Copenhaver,Jackson,1624,
1952,primary,Governor,REP,John T. Copenhaver,Jefferson,72,
1952,primary,Governor,REP,John T. Copenhaver,Kanawha,20964,
1952,primary,Governor,REP,John T. Copenhaver,Lewis,50,
1952,primary,Governor,REP,John T. Copenhaver,Lincoln,1490,
1952,primary,Governor,REP,John T. Copenhaver,Logan,1913,
1952,primary,Governor,REP,John T. Copenhaver,Marion,1534,
1952,primary,Governor,REP,John T. Copenhaver,Marshall,1787,
1952,primary,Governor,REP,John T. Copenhaver,Mason,1912,
1952,primary,Governor,REP,John T. Copenhaver,Mercer,1830,
1952,primary,Governor,REP,John T. Copenhaver,Mineral,507,
1952,primary,Governor,REP,John T. Copenhaver,Mingo,1358,
1952,primary,Governor,REP,John T. Copenhaver,Monongalia,1186,
1952,primary,Governor,REP,John T. Copenhaver,Monroe,334,
1952,primary,Governor,REP,John T. Copenhaver,Morgan,125,
1952,primary,Governor,REP,John T. Copenhaver,McDowell,1163,
1952,primary,Governor,REP,John T. Copenhaver,Nicholas,682,
1952,primary,Governor,REP,John T. Copenhaver,Ohio,2571,
1952,primary,Governor,REP,John T. Copenhaver,Pendleton,65,
1952,primary,Governor,REP,John T. Copenhaver,Pleasants,205,
1952,primary,Governor,REP,John T. Copenhaver,Pocahontas,410,
1952,primary,Governor,REP,John T. Copenhaver,Preston,399,
1952,primary,Governor,REP,John T. Copenhaver,Putnam,1910,
1952,primary,Governor,REP,John T. Copenhaver,Raleigh,1419,
1952,primary,Governor,REP,John T. Copenhaver,Randolph,297,
1952,primary,Governor,REP,John T. Copenhaver,Ritchie,662,
1952,primary,Governor,REP,John T. Copenhaver,Roane,1544,
1952,primary,Governor,REP,John T. Copenhaver,Summers,299,
