county,precinct,office,district,candidate,party,votes,,
Randolph,PRECINCT: 23 City of Elkins,Voters,,Registered,,804,,
Randolph,PRECINCT: 24 City of Elkins,Voters,,Registered,,574,,
Randolph,PRECINCT: 25 City of Elkins,Voters,,Registered,,680,,
Randolph,PRECINCT: 27 City of Elkins,Voters,,Registered,,579,,
Randolph,PRECINCT: 28 City of Elkins,Voters,,Registered,,606,,
Randolph,PRECINCT: 28A City of Elkins,Voters,,Registered,,281,,
Randolph,PRECINCT: 30 City of Elkins,Voters,,Registered,,663,,
Randolph,PRECINCT: 31 City of Elkins,Voters,,Registered,,386,,
Randolph,PRECINCT: 75 City of Elkins,Voters,,Registered,,153,,
Randolph,PRECINCT: 80 City of Elkins,Voters,,Registered,,550,,
Randolph,PRECINCT: 85 City of Elkins,Voters,,Registered,,1076,,
Randolph,PRECINCT: 150 Town of Coalton,Voters,,Registered,,1300,,
Randolph,PRECINCT: 155 City of Elkins,Voters,,Registered,,1263,,
Randolph,PRECINCT: 160 City of Elkins,Voters,,Registered,,413,,
Randolph,PRECINCT: 165 City of Elkins,Voters,,Registered,,900,,
Randolph,PRECINCT: 170 Gilman Nazarene Youth Center,Voters,,Registered,,737,,
Randolph,PRECINCT: 180 City of Elkins,Voters,,Registered,,417,,
Randolph,PRECINCT: 185 Town of Harman,Voters,,Registered,,526,,
Randolph,PRECINCT: 190 Whitmer Fired,Voters,,Registered,,131,,
Randolph,PRECINCT: 200 Town of Beverly,Voters,,Registered,,721,,
Randolph,PRECINCT: 202 Town of Beverly,Voters,,Registered,,364,,
Randolph,PRECINCT: 205 Homestead School,Voters,,Registered,,1642,,
Randolph,PRECINCT: 210 Town of Huttonsville,Voters,,Registered,,578,,
Randolph,PRECINCT: 215 Valley Head School,Voters,,Registered,,516,,
Randolph,PRECINCT: 220 Pickens School,Voters,,Registered,,192,,
Randolph,PRECINCT: 225 Town of Mill Creek,Voters,,Registered,,517,,
Randolph,PRECINCT: 227 Town of Mill Creek,Voters,,Registered,,447,,
Randolph,,Voters,,Registered,,17016,,
Randolph,PRECINCT: 23 City of Elkins,Voters,,Ballots Cast,,588,,
Randolph,PRECINCT: 24 City of Elkins,Voters,,Ballots Cast,,353,,
Randolph,PRECINCT: 25 City of Elkins,Voters,,Ballots Cast,,437,,
Randolph,PRECINCT: 27 City of Elkins,Voters,,Ballots Cast,,349,,
Randolph,PRECINCT: 28 City of Elkins,Voters,,Ballots Cast,,367,,
Randolph,PRECINCT: 28A City of Elkins,Voters,,Ballots Cast,,219,,
Randolph,PRECINCT: 30 City of Elkins,Voters,,Ballots Cast,,399,,
Randolph,PRECINCT: 31 City of Elkins,Voters,,Ballots Cast,,213,,
Randolph,PRECINCT: 75 City of Elkins,Voters,,Ballots Cast,,94,,
Randolph,PRECINCT: 80 City of Elkins,Voters,,Ballots Cast,,372,,
Randolph,PRECINCT: 85 City of Elkins,Voters,,Ballots Cast,,775,,
Randolph,PRECINCT: 150 Town of Coalton,Voters,,Ballots Cast,,831,,
Randolph,PRECINCT: 155 City of Elkins,Voters,,Ballots Cast,,908,,
Randolph,PRECINCT: 160 City of Elkins,Voters,,Ballots Cast,,262,,
Randolph,PRECINCT: 165 City of Elkins,Voters,,Ballots Cast,,632,,
Randolph,PRECINCT: 170 Gilman Nazarene Youth Center,Voters,,Ballots Cast,,507,,
Randolph,PRECINCT: 180 City of Elkins,Voters,,Ballots Cast,,298,,
Randolph,PRECINCT: 185 Town of Harman,Voters,,Ballots Cast,,354,,
Randolph,PRECINCT: 190 Whitmer Fired,Voters,,Ballots Cast,,78,,
Randolph,PRECINCT: 200 Town of Beverly,Voters,,Ballots Cast,,500,,
Randolph,PRECINCT: 202 Town of Beverly,Voters,,Ballots Cast,,244,,
Randolph,PRECINCT: 205 Homestead School,Voters,,Ballots Cast,,1072,,
Randolph,PRECINCT: 210 Town of Huttonsville,Voters,,Ballots Cast,,329,,
Randolph,PRECINCT: 215 Valley Head School,Voters,,Ballots Cast,,305,,
Randolph,PRECINCT: 220 Pickens School,Voters,,Ballots Cast,,140,,
Randolph,PRECINCT: 225 Town of Mill Creek,Voters,,Ballots Cast,,273,,
Randolph,PRECINCT: 227 Town of Mill Creek,Voters,,Ballots Cast,,238,,
Randolph,,Voters,,Ballots Cast,,11137,,
Randolph,PRECINCT: 23 City of Elkins,President,,Barack Obama,DEM,242,,
Randolph,PRECINCT: 24 City of Elkins,President,,Barack Obama,DEM,172,,
Randolph,PRECINCT: 25 City of Elkins,President,,Barack Obama,DEM,266,,
Randolph,PRECINCT: 27 City of Elkins,President,,Barack Obama,DEM,146,,
