,office,district,candidate,party
0,US SENATE,,PATRICK MORRISEY,
1,US SENATE,,JOSEPH MANCHIN III,
2,US SENATE,,RUSTY HOLLEN,
3,US SENATE,,MARK BRAZAITIS,
4,US SENATE,,PRECINCT 74+A662E676,LIB
5,US SENATE,,WRITE IN,
6,US HOUSE,3,CAROL MILLER,
7,US HOUSE,3,RICHARD OJEDA II,
8,US HOUSE,2,ALEX X MOONEY,
9,US HOUSE,2,TALLEY SERGENT,
10,US HOUSE,2,DANIEL P DANNY LUTZ JR,
11,US HOUSE,1,DAVID B MCKINLEY,
12,US HOUSE,1,KENDRA FERSHEE,
13,US HOUSE,2,WRITE IN,
14,STATE SENATE,9,ROLLAN A ROBERTS,
15,STATE SENATE,9,WILLIAM R BILL WOOTON,
16,STATE SENATE,7th District,JASON STEPHENS,
17,STATE SENATE,7th District,RON STOLLINGS,
18,STATE SENATE,10,GEORGE BOOGIE AMBLER,
19,STATE SENATE,10,STEPHEN BALDWIN,
20,STATE SENATE,12th District,WAYMOND CORK II,
21,STATE SENATE,12th District,MIKE ROMANO,
22,STATE SENATE,15,CHARLES S TRUMP IV,REP
23,STATE SENATE,15,JASON A ARMENTROUT,DEM
24,STATE SENATE,14,DAVE SYPOLT,
25,STATE SENATE,14,STEPHANIE ZUCKER,
26,STATE SENATE,3rd District,MIKE AZINGER,
27,STATE SENATE,3rd District,JIM LEACH,
28,STATE SENATE,5,LARRY BROOKE LUNSFORD,
29,STATE SENATE,5,MIKE WOELFEL,
30,STATE SENATE,6,MARK R MAYNARD,
31,STATE SENATE,6,CHARLES E SAMMONS,
32,STATE SENATE,11,BILL HAMILTON,REP
33,STATE SENATE,11,LAURA M FINCH,DEM
34,STATE SENATE,11,WRITE IN,
35,STATE SENATE,2nd District,CHARLES CLEMENTS,
36,STATE SENATE,2nd District,DENNY LONGWELL,
37,STATE SENATE,1,RYAN FERNS,REP
38,STATE SENATE,1,WILLIAM IHLENFELD,DEM
39,STATE SENATE,4,ERIC J TARR,REP
40,STATE SENATE,4,BRIAN PRIM,DEM
41,STATE SENATE,4,AMY NICHOLE GRADY,NPA
42,STATE SENATE,8,E D GAUNCH,REP
43,STATE SENATE,8,RICHARD LINDSAY,DEM
44,STATE SENATE,16,MICHAEL CRAIG FOLK,REP
45,STATE SENATE,16,JOHN UNGER,DEM
46,STATE SENATE,13,MIKE OLIVERIO,REP
47,STATE SENATE,13,BOB BEACH,DEM
48,STATE SENATE,8,ED GAUNCH,REP
49,STATE SENATE,17,TOM TAKUBO,REP
50,STATE SENATE,17,TERRELL ELLIS,DEM
51,HOUSE OF DELEGATES,29,BRANDON STEELE,
52,HOUSE OF DELEGATES,29,RICKY MOYS,
53,HOUSE OF DELEGATES,30,MICK BATES,
54,HOUSE OF DELEGATES,31,CHRISTOPHER WAYNE TONEY,
55,HOUSE OF DELEGATES,31,RICHARD RICK SNUFFER II,
56,HOUSE OF DELEGATES,31,CARLOS WALKER,
57,HOUSE OF DELEGATES,28,ROY G COOPER,
58,HOUSE OF DELEGATES,28,JEFFREY PACK,
59,HOUSE OF DELEGATES,28,ANDREW EVANS,
60,HOUSE OF DELEGATES,28,SANDY SHAW,
61,HOUSE OF DELEGATES,27,JOE C ELLINGTON JR,
62,HOUSE OF DELEGATES,27,JOHN H SHOTT,
63,HOUSE OF DELEGATES,27,ERIC FORTERFIELD,
64,HOUSE OF DELEGATES,27,CAROL B BAILEY,
65,HOUSE OF DELEGATES,27,LACY WATSON,
66,HOUSE OF DELEGATES,27,PHOEBE JEFFRIES MEADOWS,
67,HOUSE OF DELEGATES,27,KAREN DENISE WHITE,
68,HOUSE OF DELEGATES,32,KAYLA KESSINGER,
69,HOUSE OF DELEGATES,32,AUSTIN HAYNES,
70,HOUSE OF DELEGATES,32,TOM FAST,
71,HOUSE OF DELEGATES,32,LUKE LIVELY,
72,HOUSE OF DELEGATES,32,MARGARET ANNE STAGGERS,
73,HOUSE OF DELEGATES,32,MELVIN MEL KESSLER,
74,HOUSE OF DELEGATES,32,DAVID ELLIOTT PRITT,
75,HOUSE OF DELEGATES,22nd District,ZACK MAYNARD,
76,HOUSE OF DELEGATES,22nd District,JOSEPH JOE JEFFRIES,
77,HOUSE OF DELEGATES,22nd District,BILL BRYANT,
78,HOUSE OF DELEGATES,22nd District,GARY MCCALLISTER,
79,HOUSE OF DELEGATES,22nd District,JEFF E ELDRIDGE,
80,HOUSE OF DELEGATES,16th District,VERA MILLER,
81,HOUSE OF DELEGATES,16th District,DANIEL LINVILLE,
82,HOUSE OF DELEGATES,16th District,JOHN F MANDT JR,
83,HOUSE OF DELEGATES,16th District,SEAN HORNBUCKLE,
84,HOUSE OF DELEGATES,16th District,DAKOTA NELSON,
85,HOUSE OF DELEGATES,16th District,MATT SPURLOCK,
86,HOUSE OF DELEGATES,34th District,LOGAN M THOMPSON,
87,HOUSE OF DELEGATES,34th District,BRENT BOGGS,
88,HOUSE OF DELEGATES,52,TERRI FUNK SYPOLT,
89,HOUSE OF DELEGATES,52,GARY KNOTTS,
90,HOUSE OF DELEGATES,53,D R BUCK JENNINGS,
91,HOUSE OF DELEGATES,53,CORY CHASE,
92,HOUSE OF DELEGATES,53,AUSTIN ZUCHOWSKI,
93,HOUSE OF DELEGATES,6th District,DAVID L KELLY,
94,HOUSE OF DELEGATES,6th District,T CHRIS COMBS,
95,HOUSE OF DELEGATES,6th District,J SCOTT BEAVER,
96,HOUSE OF DELEGATES,7th District,JASON S HARSHBARGER,
97,HOUSE OF DELEGATES,7th District,LISSA LUCAS,
98,HOUSE OF DELEGATES,17,JOYCE W HOLLAND,
99,HOUSE OF DELEGATES,17,MATTHEW ROHRBACH,
100,HOUSE OF DELEGATES,17,JEANETTE M ROWSEY,
101,HOUSE OF DELEGATES,17,CHAD LOVEJOY,
102,HOUSE OF DELEGATES,19,MARK ROSS,
103,HOUSE OF DELEGATES,19,ROBERT THOMPSON,
104,HOUSE OF DELEGATES,19,KEN HICKS,
105,HOUSE OF DELEGATES,9th District,RAY HOLLEN,
106,HOUSE OF DELEGATES,9th District,JIM MARION,
107,HOUSE OF DELEGATES,27,WRITE IN,
108,HOUSE OF DELEGATES,26,DAVID COX,REP
109,HOUSE OF DELEGATES,26,ED EVANS,DEM
110,HOUSE OF DELEGATES,25,TONY PAYNTER,REP
111,HOUSE OF DELEGATES,25,ANDY VANCE,DEM
112,HOUSE OF DELEGATES,44,CALEB HANNA,REP
113,HOUSE OF DELEGATES,44,DANA L LYNCH,DEM
114,HOUSE OF DELEGATES,44,BARBARA DANIELS,MTN
115,HOUSE OF DELEGATES,45,CARL ROBBIE MARTIN,REP
116,HOUSE OF DELEGATES,45,MATTHEW KERNER,DEM
117,HOUSE OF DELEGATES,46,PATRICK S MARTIN,REP
118,HOUSE OF DELEGATES,46,ROBERT L BOB STULTZ,DEM
119,HOUSE OF DELEGATES,54th District,JOHN PAUL HOTT II,
120,HOUSE OF DELEGATES,56th District,GARY G HOWELL,
121,HOUSE OF DELEGATES,56th District,TIMOTHY RYAN,
122,HOUSE OF DELEGATES,57th District,RUTH ROWAN,
123,HOUSE OF DELEGATES,2,BECKY UHLLY,REP
124,HOUSE OF DELEGATES,2,PHILLIP W DISERIO,DEM
125,HOUSE OF DELEGATES,2,TREVOR BARNHART,IND
126,HOUSE OF DELEGATES,3,DALTON HAAS,REP
127,HOUSE OF DELEGATES,3,ERIKKA STORCH,REP
128,HOUSE OF DELEGATES,3,BEN SCHNEIDER,DEM
129,HOUSE OF DELEGATES,3,SHAWN FLUHARTY,DEM
130,HOUSE OF DELEGATES,4,CHARLIE REYNOLDS,REP
131,HOUSE OF DELEGATES,4,LISA ZUKOFF,DEM
