office,district,candidate,party
HOUSE OF DELEGATES,1.0,JOE DELONG,D
HOUSE OF DELEGATES,1.0,RANDY SWARTZMILLER,D
HOUSE OF DELEGATES,2.0,TIM ENNIS,D
HOUSE OF DELEGATES,2.0,JACK YOST,D
HOUSE OF DELEGATES,2.0,ERIC C JACK,R
HOUSE OF DELEGATES,2.0,JO LYNN KRAINA,R
HOUSE OF DELEGATES,3.0,ORPHY KLEMPA,D
HOUSE OF DELEGATES,3.0,TAL HUTCHINS,D
HOUSE OF DELEGATES,3.0,SCOTT REED,R
HOUSE OF DELEGATES,3.0,L GIL WHITE,R
HOUSE OF DELEGATES,4.0,KENNETH D TUCKER,D
HOUSE OF DELEGATES,4.0,SCOTT G VARNER,D
HOUSE OF DELEGATES,4.0,RONALD MORRIS,R
HOUSE OF DELEGATES,5.0,DAVE PETHTEL,D
HOUSE OF DELEGATES,6.0,WM ROGER ROMINE,R
HOUSE OF DELEGATES,7.0,PAUL D JANES,D
HOUSE OF DELEGATES,7.0,LYNWOOD WOODY IRELAND,R
HOUSE OF DELEGATES,8.0,E W BILL ANDERSON JR,R
HOUSE OF DELEGATES,9.0,JIM MARION,D
HOUSE OF DELEGATES,9.0,LARRY BORDER,R
HOUSE OF DELEGATES,10.0,J D BEANE,D
HOUSE OF DELEGATES,10.0,DAVID A DANIELS,D
HOUSE OF DELEGATES,10.0,STEVEN D WHITEHAIR SR,D
HOUSE OF DELEGATES,10.0,TOM AZINGER,R
HOUSE OF DELEGATES,10.0,JOHN N ELLEM,R
HOUSE OF DELEGATES,10.0,FRED GILLESPIE,R
HOUSE OF DELEGATES,11.0,BOB ASHLEY,R
HOUSE OF DELEGATES,12.0,STEVE NICHOLAS,D
HOUSE OF DELEGATES,12.0,MITCH B CARMICHAEL,R
HOUSE OF DELEGATES,13.0,DALE MARTIN,D
HOUSE OF DELEGATES,13.0,BRADY R PAXTON,D
HOUSE OF DELEGATES,13.0,PENNY RENEE DICK,R
HOUSE OF DELEGATES,14.0,GENE ESTEL,D
HOUSE OF DELEGATES,14.0,TROY ANDES,R
HOUSE OF DELEGATES,14.0,PATTI EAGLOSKI SCHOEN,R
HOUSE OF DELEGATES,15.0,KEVIN J CRAIG,D
HOUSE OF DELEGATES,15.0,MARGARETTE R LEACH,D
HOUSE OF DELEGATES,15.0,JIM MORGAN,D
HOUSE OF DELEGATES,15.0,PAM CARDEN,R
HOUSE OF DELEGATES,15.0,CAROL D MILLER,R
HOUSE OF DELEGATES,15.0,LISA THORNBURG,R
HOUSE OF DELEGATES,16.0,ERIC ANDERSON,D
HOUSE OF DELEGATES,16.0,DOUG REYNOLDS,D
HOUSE OF DELEGATES,16.0,DALE STEPHENS,D
HOUSE OF DELEGATES,16.0,GREG HOWARD,R
